1,"Area 1: Understanding of Issues of Local, Regional and Global Significance"
2,a.	Identify and gather relevant  information and ideas through independent research
3,"b.	Consider various perspectives on issues, including the Singapore perspective"
4,"c.	Critically examine the significance of issues on the individual, our society, our region and the world"
5,d.	Synthesise ideas across issues and develop conceptual understanding
6,Area 2: Critical and Inventive Thinking
7,Analysis
8,a.	Identify the components of a text and how they relate to one another
9,b.	Infer meanings
10,	making connections and recognising patterns across ideas
11,	probing/uncovering implicit claims and assumptions
12,	determining the writer’s/speaker’s intended purpose
13,	determining the writer’s/speaker’s tone
14,Evaluation
15,a.	Assess the accuracy and credibility of information or its source
16,b.	Assess the cogency of an argument
17,c.	Assess the significance of an argument and its implications and consequences
18,Creation
19,"a.	Synthesise ideas, arguments and/or evidence from various sources"
20,b.	Generate ideas both individually and collaboratively
21,c.	Apply and adapt ideas to other contexts
22,Area 3: English Language for Effective Communication
23,a.	Understand and demonstrate how the organisation and development of ideas communicate a stance
24,"b.	Understand and demonstrate how the appropriate use of language contributes to persuasion, effective expression of ideas and an informed and insightful personal response"
25,c.	Understand and demonstrate how the review and revision of ideas and language use enhance relevance and clarity in the expression of ideas and an informed and insightful personal response
