1,Functions and Graphs
2,Functions
3,"concepts of function, domain and range"
4,inverse functions
5,finding composite functions
6,conditions for the existence of inverse functions
7,conditions for the existence of composite functions
8,domain restriction to obtain an inverse function
9,relationship between graphs of a one-to-one function and its inverse
10,Graphs and transformations
11,use of a graphing calculator or a graphing software to graph a given function
12,"important characteristics of graphs such as symmetry, intersections with the axes, turning points and asymptotes of the following: 

; 
; 
;"
13,equations of asymptotes
14,axes of symmetry
15,restrictions on the possible values of x and/or y
16,"effect of transformations on the graph of  as represented by , ,  and  and combinations of these transformations"
17,relating the graphs of  to the graph of
18,relating the graph of  to the graph of
19,relating the graph of  to the graph of
20,simple parametric equations and their graphs
21,Equations and inequalities
22,formulating an equation from a problem situation
23,formulating a system of linear equations from a problem situation
24,formulating inequalities from a problem situation
25,solving an equation exactly or approximately using a graphing calculator or a graphing software
26,solving a system of linear equations using a graphing calculator or a graphing software
27,solving inequalities of the form  where f(x) and g(x) are linear expressions
28,solving inequalities of the form  where f(x) and g(x) are quadratic expressions
29,concept of |x|
30,use of relations  and
31,solving inequalities by graphical methods
32,Sequences and Series
33,Sequences and Series
34,concepts of sequence and series for finite and infinite cases
35,sequence as function y=f(n) where n is a positive integer
36,relationship between  (the nth term) and  (the sum to n terms)
37,sequence given by a formula for the nth term
38,"sequence generated by the relation , including the use of a graphing calculator or a computer to generate the sequence"
39,sum and difference of two series
40,convergence of a series and the sum to infinity
41,formula for the nth term and the sum of a finite arithmetic series
42,formula for the nth term and the sum of a finite geometric series
43,condition for convergence of an infinite geometric series
44,formula for the sum to infinity of a convergent geometric series
45,Vectors
46,Basic properties of vectors in two- and three dimensions
47,"addition and subtraction of vectors, multiplication of a vector by a scalar, and their geometrical interpretations"
48,"position vectors, displacement vectors and direction vectors"
49,magnitude of a vector
50,unit vectors
51,distance between two points
52,collinearity
53,use of the ratio theorem in geometrical applications
54,Scalar and vector products in vectors
55,concepts of scalar product and vector product of vectors and their properties
56,the angle between two vectors
57,"geometrical meanings of  and , where  is a unit vector"
58,Three-dimensional vector geometry
59,vector and cartesian equations of lines and planes
60,finding the foot of the perpendicular and distance from a point to a line or to a plane
61,"finding the angle between two lines, between a line and a plane, or between two planes"
62,"relationships between
(i) two lines (coplanar or skew)
(ii) a line and a plane
(iii) two planes"
63,Introduction to Complex Numbers
64,Complex numbers expressed in Cartesian form and Argand diagrams
65,extension of the number system from real numbers to complex numbers
66,complex roots of quadratic equations
67,"modulus, argument and conjugate of a complex number"
68,four operations of complex numbers
69,equality of complex numbers
70,conjugate roots of a polynomial equation with real coefficients
71,representation of complex numbers in the Argand diagram
72,"geometrical effects of conjugation, negation, addition, subtraction, and multipliation by i"
73,Calculus
74,Differentiation
75,"graphical interpretation of f'(x)>0, f'(x)=0 and f'(x)<0"
76,graphical interpretation of f''(x)>0 and f''(x)<0
77,relating the graph of y=f'(x) to the graph of y=f(x)
78,differentiation of simple functions defined implicitly or parametrically
79,"determining the nature of the stationary points (local maximum and minimum points and points of inflexion) analytically, in simple cases, using the first derivative test or the second derivative test"
80,locating maximum and minimum points using a graphing calculator or a graphing software
81,finding the approximate value of a derivative at a given point using a graphing calculator or a graphing software
82,"problems involving tangents and normals to curves, including cases where the curve is defined implicitly or parametrically"
83,local maxima and minima problems
84,connected rates of change problems
85,Maclaurin's series
