1,Number and Algebra
2,Whole Numbers
3,Numbers up to 100 000
4,"1.1 number notation, representations and place values (ten thousands, thousands, hundreds, tens, ones)"
5,1.2 reading and writing numbers in numerals and in words
6,1.3 comparing and ordering numbers
7,1.4 patterns in number sequences
8,"1.5 rounding numbers to the nearest 10, 100 or 1000"
9,1.6 use of
10,Factors and multiples
11,"2.1 factors, multiples and their relationship"
12,2.2 determining if a 1-digit number is a factor of a given number within 100
13,2.3 finding the common factors of two given numbers
14,2.4 determining if a number is a multiple of a given 1-digit number
15,2.5 finding the common multiples of two given 1-digit numbers
16,Four operations
17,"3.1 multiplication algorithm

up to 4 digits by 1 digit
up to 3 digits by 2 digits"
18,3.2 division algorithm (up to 4 digits by 1 digit)
19,3.3 solving up to 3-step word problems involving the 4 operations
20,Fractions
21,Mixed numbers and improper fractions
22,"1.1 mixed numbers, improper fractions and their relationships"
23,Fraction of a set of objects
24,2.1 fraction as part of a set of objects
25,Addition and subtraction
26,3.1 adding and subtracting fractions with denominators of given fractions not exceeding 12 and not more than two different denominators
27,3.2 solving up to 2-step word problems involving addition and subtraction
28,Decimals
29,Decimals up to 3 decimal places
30,"1.1 notation, representations and place values (tenths, hundredths, thousandths)"
31,1.2 comparing and ordering decimals
32,1.3 dividing a whole number by a whole number with quotient as a decimal
33,1.4 converting decimals to fractions
34,1.5 converting fractions to decimals when the denominator is a factor of 10 or 100
35,"1.6 rounding decimals to

the nearest whole number
1 decimal place
2 decimal places"
36,Addition and subtraction
37,2.1 adding and subtracting decimals (up to 2 decimal places)
38,Multiplication and division
39,3.1 multiplying and dividing decimals (up to 2 decimal places) by a 1-digit whole number
40,3.2 solving up to 2-step word problems involving the 4 operations
41,3.3 rounding answers to a specified degree of accuracy
42,Measurement and Geometry
43,Measurement
44,Time
45,1.1 measuring time in seconds
46,1.2 24-hour clock
47,1.3 solving problems involving time in 24-hour clock
48,Area and Volume
49,Area and perimeter
50,1.1 finding one dimension of a rectangle given the other dimension and its area/ perimeter
51,1.2 finding the length of one side of a square given its area/perimeter
52,1.3 finding the area of figures made up of rectangles and squares
53,Geometry
54,Angles
55,1.1 using notation such as ABC and a to name angles
56,1.2 measuring angles in degrees
57,1.3 drawing an angle of a given size
58,"1.4 relating quarter, half and complete turns to angles in degrees"
59,1.5 8-point compass
60,Rectangle and square
61,"2.1 properties of rectangle and square, excluding diagonal properties"
62,2.2 drawing rectangle and square on square grid
63,Line Symmetry
64,3.1 identifying symmetric figures
65,3.2 determining whether a straight line is a line of symmetry of a symmetric figure
66,3.3 completing a symmetric figure with respect to a given line of symmetry on square grid
67,Statistics
68,Data representation and interpretation
69,Tables and line graphs
70,1.1 completing a table from given data
71,1.2 reading and interpreting data from tables/line graphs
72,1.3 solving 1-step problems using data from tables/graphs
73,Enrichment
1,Number and Algebra
2,Whole Numbers
3,Numbers up to 100 000
4,"1.1 number notation, representations and place values (ten thousands, thousands, hundreds, tens, ones)"
5,1.2 reading and writing numbers in numerals and in words
6,1.3 comparing and ordering numbers
7,1.4 patterns in number sequences
8,"1.5 rounding numbers to the nearest 10, 100 or 1000"
9,1.6 use of
10,Factors and multiples
