1,Pengenalan JATi
2,mengenali bahan pengajaran dan pembelajaran JATi
3,Unit 1: CCA Piihan Saya
4,Bahagian 2 Membuat Pilihan
5,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
6,Bahagian 3 Komited terhadap CCA
7,mengaitkan ehwal semasa dengan topik perbincangan
8,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
9,Unit 2: Mampukah Saya?
10,Bahagian 1 Berbaloikah?
11,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)
12,Bahagian 3 Apakah Pilihan Lain?
13,mengaitkan ehwal semasa dengan topik perbincangan
14,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
15,Unit 3: Fikir Dahulu
16,Bahagian 1 Awak Okey?
17,menggunakan kata adjektif perasaan dengan betul
18,Bahagian 3 Berfikirlah
19,mengaitkan ehwal semasa dengan topik perbincangan
20,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
21,Unit 4: Muzik dalam Kehidupan Kita
22,Bahagian 2 Muzik Melayu
23,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menghayati isi (1.2)
24,mengaitkan ehwal semasa dengan topik perbincangan
25,Bahagian 3 Sumbangan Melalui Muzik
26,mengembangkan idea yang dijana (4.1)
27,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
28,Unit 5: Dengarlah Cerita Saya
29,Pembuka Bicara
30,berkongsi cerita yang pernah mereka dengar tentang pengalaman hidup seseorang
31,Bahagian 1 Kisah Keluarga
32,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
33,Bahagian 2 Mari Aku Ceritakan
34,mengaitkan ehwal semasa dengan pandangan peribadi
35,Bahagian 3 Cerita Semula
36,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
37,Unit 6: Jemput ...
38,Bahagian 2 Beginilah Caranya
39,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
40,Bahagian 3 Inovasi dalam Makanan
41,mengaitkan ehwal semasa dengan topik perbincangan
42,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
43,Unit 7: Tabah Hadapi Cabaran
44,Bahagian 2 Cari Jalan
45,bertutur untuk menerangkan idea/pendapat/ pandangan (2.3)
46,Bahagian 3 Jalan Keluar
47,mengaitkan ehwal semasa dengan topik perbincangan
48,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
49,Unit 8: Sekecil Manapun
50,Bahagian 2 Teruslah Menyumbang
51,mengaitkan ehwal semasa dengan topik perbincangan
52,Bahagian 3 Sumbangan Bermakna
53,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
54,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
55,Isu Kontemporari & Isu Semasa
56,Ehwal Semasa
57,mengaitkan ehwal semasa dengan topik perbincangan
58,Teroka Berita Harian & Berita Mediacorp
59,bersoal jawab tentang sesuatu perkara untuk mendapatkan maklumat lanjut (5.1)
60,berbincang untuk mengemukakan idea/ pendapat/pandangan tentang sesuatu perkara (5.2)
61,berbincang untuk menyokong atau menolak pandangan orang lain bagi mencapai keputusan (5.3)
62,Bahan Tambahan
63,Pengetahuan Bahasa
64,menggunakan bentuk kata dengan betul dalam pelbagai konteks
65,menggunakan golongan kata dengan betul dalam pelbagai konteks
66,menggunakan frasa dengan betul dalam pelbagai konteks
67,menggunakan dan membina ayat dengan betul dalam pelbagai konteks
68,menggunakan aspek bahasa yang lain dengan betul dalam konteks
69,Bacaan Luas
70,Penulisan
71,Bahan Pengayaan
72,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
73,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menilai isi (1.3)
74,bertutur untuk menyampaikan sesuatu perkara (2.2)
75,bertutur untuk menerangkan idea/pendapat/pandangan (2.3)
