1,Pengenalan JATi
2,mengenali bahan pengajaran dan pembelajaran JATi
3,berbincang untuk mengemukakan pandangan dengan alasan yang wajar (5.2)
4,Unit 1: Perlu atau Mahu?
5,Bahagian 1 Fikirkan Dahulu
6,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
7,mengaitkan ehwal semasa dengan topik perbincangan
8,Bahagian 3 Cantiknya!
9,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
10,Unit 2: Kita Perlu Sensitif
11,Bahagian 2 Awak Okey?
12,menggunakan kata adjektif perasaan dengan betul
13,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
14,Bahagian 3 Saya Boleh!
15,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menghayati isi (1.2)
16,bertutur untuk menerangkan idea/pendapat/ pandangan (2.3)
17,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
18,mengaitkan ehwal semasa dengan topik perbincangan
19,Unit 3: Jika Tidak Dipecahkan Ruyung …
20,Bahagian 1 Belum Cuba Belum Tahu
21,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
22,Bahagian 2 Bingkas Tangkas
23,mengaitkan ehwal semasa dengan topik perbincangan
24,Bahagian 3 Genggam Bara Api …
25,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
26,Unit 4: Inspirasi
27,Bahagian 3 Ilhamku
28,mengaitkan ehwal semasa dengan topik perbincangan
29,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
30,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
31,"Unit 5: Senyum, Salam, Sapa dan Santun"
32,Bahagian 2 Sesuaikah?
33,bertutur untuk menerangkan idea/pendapat/ pandangan (2.3)
34,Bahagian 3 Bersantun
35,mengaitkan ehwal semasa dengan topik perbincangan
36,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
37,Unit 6: Jemput Makan!
38,Bahagian 2 Makanan Budaya Kita?
39,mengaitkan ehwal semasa dengan pandangan peribadi
40,"Bahagian 3 Makanan Kita, Identiti Kita"
41,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
42,Unit 7: Tika Tercabar Cari Ikhtiar!
43,Bahagian 2 Ke Kiri atau Ke Kanan?
44,mengaitkan ehwal semasa dengan topik perbincangan
45,berbincang untuk mengemukakan pandangan dengan alasan yang wajar (5.2)
46,Bahagian 3 Pilihan Menentukan Perjalanan
47,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
48,Unit 8: Melentur Buluh Biar Dari Rebungnya
49,Bahagian 2 Tangan yang Menerima
50,berbincang untuk mengemukakan idea/ pendapat/pandangan tentang sesuatu perkara (5.2)
51,Bahagian 3 Tiada Usaha Seindah Jasa
52,mengaitkan ehwal semasa dengan kehidupan pelajar
53,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
54,Isu Kontemporari & Isu Semasa
55,Ehwal Semasa
56,mengaitkan ehwal semasa dengan topik perbincangan
57,Teroka Berita Harian & Berita Mediacorp
58,bersoal jawab tentang sesuatu perkara untuk mendapatkan maklumat lanjut (5.1)
59,berbincang untuk mengemukakan idea/ pendapat/pandangan tentang sesuatu perkara (5.2)
60,berbincang untuk menyokong atau menolak pandangan orang lain bagi mencapai keputusan (5.3)
61,Bahan Tambahan
62,Pengetahuan Bahasa
63,menggunakan bentuk kata dengan betul dalam pelbagai konteks
64,menggunakan golongan kata dengan betul dalam pelbagai konteks
65,menggunakan frasa dengan betul dalam pelbagai konteks
66,menggunakan dan membina ayat dengan betul dalam pelbagai konteks
67,menggunakan aspek bahasa yang lain dengan betul dalam konteks
68,Bacaan Luas
69,Penulisan
70,Bahan Pengayaan
71,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
72,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menilai isi (1.3)
73,bertutur untuk menyampaikan sesuatu perkara (2.2)
74,bertutur untuk menerangkan idea/pendapat/pandangan (2.3)
