1,Listening & Viewing
2,Sailing the Seas of Critical Literacy
3,Listen Up
4,Listen and View!
5,All Ears!
6,Voices at Play: Strategy Toolkits
7,Voices at Play: Core Texts
8,Into the Deep
9,App Review
10,Listen and view with empathy and respect
11,Indicate response appropriately while listening and viewing
12,Listen and respond with appropriate conversational repair strategies
13,Listen and view attentively to participate effectively in a variety of contexts
14,Recognise that prosodic features and their variations contribute to the meaning of an utterance
15,Recognise that non-fluency features of spoken language contribute to the meaning of an utterance
16,Draw on prior knowledge and contextual clues to facilitate comprehension of texts
17,Listen and view actively to interpret texts
18,Compare and contrast information between: two or more ideas
19,"Make text-to-self, text-to-text and text-to-world connections"
20,Apply metacognitive strategies to actively regulate listening and viewing
21,"Listen to, view and respond to a variety of texts for understanding and enjoyment"
22,Listen and view attentively and for a sustained period
23,Identify different points of view
24,Distinguish fact from opinion
25,"Draw conclusions from main ideas, key details and specific examples from a text"
26,Draw conclusions from prior knowledge
27,Draw conclusions from contextual clues
28,Identify and analyse how semiotic modes work together to achieve a variety of purposes
29,Compare and contrast different texts to deepen understanding of the speaker's craft in achieving his/ her purpose
30,Determine the credibility of the speaker or source
31,Evaluate the relevance and soundness of the message or arguments
32,Appreciate the diverse varieties of English spoken in the world and recognise that these represent cultural identity
33,"Apply the knowledge from listening and viewing in reading, speaking, writing and representing to demonstrate the meaningful use of language"
34,Speaking & Representing
35,Voice Qualities
36,Can You Deliver?
37,Spoken Interaction
38,Voice Against the Void
39,Voices at Play: Strategy Toolkits
40,Right on Target
41,Know Your Role
42,App Review
43,Discussion Strategies
44,Recognise features of spoken language
45,Recognise that varying one’s language structure can be understood in different ways and convey different meanings
46,Recognise and apply word stress patterns accurately
47,Recognise and demonstrate the use of appropriate prosodic features for expression and fluency
48,"Identify and set goals for the purpose of speaking and representing according to situations which may be personal, academic, creative and imagined taking into account the increasing complexity of tasks and texts"
49,"Draw on prior knowledge, including that of: subject matter, rules of engagement with listeners and organisational structures of texts"
50,"Generate ideas and details appropriate to purpose, audience, context and culture in the following ways: free association of ideas, exploring new possibilities drawn from evidence, and eliciting suggestions and other viewpoints"
51,"Develop and organise ideas for speaking and representing through active discussion by: elaborating on topics, giving details, anecdotes and concrete examples to illustrate a point and supporting opinions/ideas with reasons"
52,Participate respectfully in discussion by: upholding agreed-upon rules of exchange
53,"Speak and represent clearly and appropriately according to social conventions for specific purposes, audiences, contexts and cultures when: introducing self/others, making different types of requests, expressing appreciation and gratitude and stating opinions and thoughts"
54,Speak and represent to achieve cohesion through: using vocabulary and using grammar
55,Speak and represent with cohesion and coherence by combining different semiotic modes
56,Speak and represent with confidence using different semiotic modes appropriately to fulfil various purposes
57,"Self-adjust planned speech by reviewing intended: purposes of speech, audience, content of speech and organisation and flow of speech"
58,"Monitor self and others in order to correct mispronounced words, and adjust inappropriate use of prosodic features"
59,Revise speech immediately after speaking to adjust and improve communication based on response/feedback from listener(s) through: repetition and clarification
60,Speak and represent with clarity and fluency by: using appropriate features of spoken language and using appropriate prosodic features
61,Develop and organise ideas for speaking and representing through active discussion by restating main points to reinforce ideas or focus on objective(s); drawing / stating conclusions by pointing out observations about the gist/ main idea and key details
62,Participate respectfully in discussion by seeking agreement for discussion outcomes thoughtfully
63,"Develop, articulate and represent ideas through speaking and representing in real time according to the response of listener(s) in the course of discussions, conversations, and role-play"
64,Revise speech upon further reflection after speaking to adjust and improve communication based on response/feedback from listener(s)
65,Reading & Viewing
66,Words for Impact!
67,Read and Respond!
68,Read Like a Detective
69,All Action Comprehension
70,Reading Up
71,Research Brick by Brick
72,Sailing the Seas of Critical Literacy
73,Voices at Play: Strategy Toolkits
74,Take Your Pick!
75,Into the Deep
76,App Review
77,Determine main ideas and supporting details
78,Sequence complex details
79,Categorise and classify given details
80,Make inferences to draw conclusions
81,Identify different or multiple points of view
82,Decipher the purpose and audience of texts read and/or viewed
83,"Make interpretations from the text as a whole based on: contextual information, writer's point of view and implied information"
84,Analyse organisational patterns in a text for the flow of ideas in order to identify the organisational structure of a text
85,"Justify a personal or critical response to texts with: description, reasons and evidence"
86,"Evaluate the soundness/objectivity of the given information, recommendation or line of thought based on: reasons/evidence"
87,"Analyse how a writer's choice of semiotic modes can shape or enhance meaning and the appeal of the text according to purpose, audience, context and culture"
88,Apply metacognitive strategies to actively regulate reading and viewing
89,Ask a variety of questions at different levels about the texts read and/or viewed
90,Interpret and integrate information from a variety of print and non-print sources
91,"Read and view a variety of texts, including multimodal and hybrid texts, of suitable complexity and length on a diverse range of Singapore, Asian, contemporary and international themes/topics for different purposes"
92,"Explore and analyse the appropriate use of language, including literary language and word play, and how they influence the intended meaning and impact of the writing"
93,Summarise ideas from one/ multiple paragraphs or an extract
94,Synthesise information by combining ideas or texts in a variety of ways
95,Cite evidence or sources to credit information in appropriate ways
96,Identify and analyse techniques used in written and visual texts to communicate information
97,Recognise writers' intentions
98,Compare and contrast ideas
99,Establish criteria for responding to texts
100,Make generalisations
101,Solve problems imaginatively and creatively
102,Provide and interpret evidence to support an understanding or a position on the issue/ topic/ theme
103,Establish extent of agreement or disagreement with supporting evidence to reconcile discrepancy
104,Abstract ideas/ themes from a text and apply them to a new situation
105,Demonstrate understanding of how a writer's style can impact how meaning is represented or interpreted to enhance the appeal of a text or its organisational structure
106,Identify and compare specific characteristics/ features in different literary texts and link them to common points of interest
107,"Navigate and gather information from a range of print, non-print and digital networked sources"
108,Paraphrase information or ideas (using own words or synonyms/antonyms)
109,"Evaluate the credibility, currency, quality and usefulness of the information and ideas for defined information needs"
110,Writing & Representing
111,Mightier than the Sword
112,The Science of Writing
113,Personal X Critical Responder Yagami
114,Chronicles of SS Sang Nila
115,Graphic Content Ahead
116,Reviewing & Revising with Writing Cat!
117,Voices at Play: Strategy Toolkits
118,How to Learn Spelling
119,How to Craft a Critical Response
120,Into the Deep
121,Follow My Lead!
122,App Review
123,Write accurately by applying spelling strategies
124,Write accurately using knowledge of grammar and vocabulary
125,Apply spelling rules and conventions consistently
126,"Plan by identifying the purpose, audience, context and culture (which determine register and tone), and by setting goals for assigned or self-selected writing and representing tasks or topics"
127,"Stimulate imagination, generate, gather and/or construct ideas appropriate to the writing and representing tasks, topics and goals, both individually and collaboratively, using learner strategies"
128,"Gather and select information and ideas from one or multiple print, non-print and digital networked sources, appropriate to the writer’s purpose, needs of the audience, context and culture"
129,"Use and/or combine information from texts to create new understandings and ideas, according to purpose, audience, context and culture"
130,"Ensure coherence and cohesion in a text by: selecting organisational patterns appropriate to purpose, audience, context and culture, using language signals to help the reader follow the development of ideas and/or line of argument and selecting and using a combination of semiotic features such that they contribute to the overall meaning of the text"
131,"Elaborate on, explain, support and/or justify the key points, events or plot of a text by providing relevant descriptive, factual, emotive or sensory details and/or examples, where appropriate"
132,"Introduce the main idea in a paragraph using key words, phrases and clauses or a topic sentence, where appropriate"
133,"Use appropriate cohesive devices to indicate relationships between the: sentences in a paragraph and main ideas of different paragraphs and the key message of a text, by expressing the function of a paragraph with reference to the text"
134,"Select and use appropriate language features to address the purpose, audience, context and culture of the text created and to adopt a desired register and tone"
135,"Review and revise drafts to enhance relevance, focus, and clarity and to achieve precision in expression of meaning (e.g., through self-monitoring, checking, adjustment, reflection and critique, teacher or peer conferencing) by: identifying language and/or content (e.g., facts, ideas, details, points of view) inappropriate to audience, context and culture"
136,"Review and revise drafts to enhance relevance, focus, and clarity and to achieve precision in expression of meaning"
137,Edit and proofread drafts by: correcting language features for grammatical accuracy and clarity of meaning and improving the layout of a text for ease of reading and viewing
138,"Evaluate and synthesise information, ideas and/or multimedia elements from a variety of print, non-print and digital networked sources, appropriate to the writer's purpose, needs of the audience, context and culture, using learner strategies"
