1,Listening & Viewing
2,Sailing the Seas of Critical Literacy
3,Listen Up
4,Listen and View!
5,All Ears!
6,Voices at Play: Strategy Toolkits
7,Voices at Play: Core Texts
8,Into the Deep
9,App Review
10,Listen and view with empathy and respect
11,Indicate response appropriately while listening and viewing
12,Listen and respond with appropriate conversational repair strategies
13,Listen and view attentively to participate effectively in a variety of contexts
14,Recognise that prosodic features and their variations contribute to the meaning of an utterance
15,Recognise that non-fluency features of spoken language contribute to the meaning of an utterance
16,Draw on prior knowledge and contextual clues to facilitate comprehension of texts
17,Listen and view actively to interpret texts
18,Compare and contrast information between: two or more ideas
19,"Make text-to-self, text-to-text and text-to-world connections"
20,Apply metacognitive strategies to actively regulate listening and viewing
21,"Listen to, view and respond to a variety of texts for understanding and enjoyment"
22,Listen and view attentively and for a sustained period
23,Distinguish fact from opinion
24,Speaking & Representing
25,Voice Qualities
26,Can You Deliver?
27,Spoken Interaction
28,Voice Against the Void
29,Voices at Play: Strategy Toolkits
30,Right on Target
31,Know Your Role
32,App Review
33,Discussion Strategies
34,Recognise features of spoken language
35,Recognise that varying one’s language structure can be understood in different ways and convey different meanings
36,Recognise and apply word stress patterns accurately
37,Recognise and demonstrate the use of appropriate prosodic features for expression and fluency
38,"Identify and set goals for the purpose of speaking and representing according to situations which may be personal, academic, creative and imagined taking into account the increasing complexity of tasks and texts"
39,"Draw on prior knowledge, including that of: subject matter, rules of engagement with listeners and organisational structures of texts"
40,"Generate ideas and details appropriate to purpose, audience, context and culture in the following ways: free association of ideas"
41,"Develop and organise ideas for speaking and representing through active discussion by: elaborating on topics, giving details, anecdotes and concrete examples to illustrate a point and supporting opinions/ideas with reasons"
42,Participate respectfully in discussion by: upholding agreed-upon rules of exchange
43,"Speak and represent clearly and appropriately according to social conventions for specific purposes, audiences, contexts and cultures when: introducing self/others, making different types of requests, expressing appreciation and gratitude and stating opinions and thoughts"
44,Speak and represent to achieve cohesion through: using vocabulary and using grammar
45,Speak and represent with cohesion and coherence by combining different semiotic modes
46,Speak and represent with confidence using different semiotic modes appropriately to fulfil various purposes
47,"Self-adjust planned speech by reviewing intended: purposes of speech, audience, content of speech and organisation and flow of speech"
48,"Monitor self and others in order to correct mispronounced words, and adjust inappropriate use of prosodic features"
49,Revise speech immediately after speaking to adjust and improve communication based on response/feedback from listener(s) through: repetition and clarification
50,Speak and represent with clarity and fluency by: using appropriate features of spoken language and using appropriate prosodic features
51,Reading & Viewing
52,Words for Impact!
53,Read and Respond!
54,Read Like a Detective
55,All Action Comprehension
56,Reading Up
57,Research Brick by Brick
58,Sailing the Seas of Critical Literacy
59,Voices at Play: Strategy Toolkits
60,Take Your Pick!
61,Into the Deep
62,App Review
63,Determine main ideas and supporting details
64,Sequence complex details
65,Categorise and classify given details
66,Make inferences to draw conclusions
67,Identify different or multiple points of view
68,Decipher the purpose and audience of texts read and/or viewed
69,"Make interpretations from the text as a whole based on: contextual information, writer's point of view and implied information"
70,Analyse organisational patterns in a text for the flow of ideas in order to identify the organisational structure of a text
71,"Justify a personal or critical response to texts with: description, reasons and evidence"
72,"Evaluate the soundness/objectivity of the given information, recommendation or line of thought based on: reasons/evidence"
73,"Analyse how a writer's choice of semiotic modes can shape or enhance meaning and the appeal of the text according to purpose, audience, context and culture"
74,Apply metacognitive strategies to actively regulate reading and viewing
75,Ask a variety of questions at different levels about the texts read and/or viewed
76,Interpret and integrate information from a variety of print and non-print sources
77,"Read and view a variety of texts, including multimodal and hybrid texts, of suitable complexity and length on a diverse range of Singapore, Asian, contemporary and international themes/topics for different purposes"
78,"Explore and analyse the appropriate use of language, including literary language and word play, and how they influence the intended meaning and impact of the writing"
79,"Navigate and gather information from a range of print, non-print and digital networked sources"
80,"Evaluate the credibility, currency, quality and usefulness of the information and ideas for defined information needs"
81,Writing & Representing
82,Mightier than the Sword
83,The Science of Writing
84,Personal X Critical Responder Yagami
85,Chronicles of SS Sang Nila
86,Graphic Content Ahead
87,Reviewing & Revising with Writing Cat!
88,Voices at Play: Strategy Toolkits
89,How to Learn Spelling
90,Into the Deep
91,Follow My Lead!
92,App Review
93,Write accurately by applying spelling strategies
94,Write accurately using knowledge of grammar and vocabulary
95,Apply spelling rules and conventions consistently
96,"Plan by identifying the purpose, audience, context and culture (which determine register and tone), and by setting goals for assigned or self-selected writing and representing tasks or topics"
97,"Stimulate imagination, generate, gather and/or construct ideas appropriate to the writing and representing tasks, topics and goals, both individually and collaboratively, using learner strategies"
98,"Gather and select information and ideas from one or multiple print, non-print and digital networked sources, appropriate to the writer’s purpose, needs of the audience, context and culture"
99,"Use and/or combine information from texts to create new understandings and ideas, according to purpose, audience, context and culture"
100,"Ensure coherence and cohesion in a text by: selecting organisational patterns appropriate to purpose, audience, context and culture, using language signals to help the reader follow the development of ideas and/or line of argument and selecting and using a combination of semiotic features such that they contribute to the overall meaning of the text"
101,"Elaborate on, explain, support and/or justify the key points, events or plot of a text by providing relevant descriptive, factual, emotive or sensory details and/or examples, where appropriate"
102,"Introduce the main idea in a paragraph using key words, phrases and clauses or a topic sentence, where appropriate"
103,"Use appropriate cohesive devices to indicate relationships between the: sentences in a paragraph and main ideas of different paragraphs and the key message of a text, by expressing the function of a paragraph with reference to the text"
104,"Select and use appropriate language features to address the purpose, audience, context and culture of the text created and to adopt a desired register and tone"
105,"Review and revise drafts to enhance relevance, focus, and clarity and to achieve precision in expression of meaning (e.g., through self-monitoring, checking, adjustment, reflection and critique, teacher or peer conferencing) by: identifying language and/or content (e.g., facts, ideas, details, points of view) inappropriate to audience, context and culture"
106,"Review and revise drafts to enhance relevance, focus, and clarity and to achieve precision in expression of meaning"
107,Edit and proofread drafts by: correcting language features for grammatical accuracy and clarity of meaning and improving the layout of a text for ease of reading and viewing
108,"Edit and proofread drafts (e.g., through class-editing, peer-editing, self-monitoring, checking, adjustment and reflection, referring to an online dictionary) by: improving the layout of a text for ease of reading and viewing"
109,"Evaluate and synthesise information, ideas and/or multimedia elements from a variety of print, non-print and digital networked sources, appropriate to the writer's purpose, needs of the audience, context and culture, using learner strategies"
110,"Organise facts, ideas and/or points of view in a way appropriate to the mode of delivery, purpose and audience"
111,Respond to an event or experience(s) or text(s) in a personal way
112,Consider how the various semiotic modes work together to convey the intended message of a text
113,"Express feelings and thoughts through freewriting on self-selected topics, using emotive or sensory details"
114,"Stimulate imagination and generate, gather and/or construct ideas appropriate to the writing and representing tasks, topics and goals, both individually and collaboratively, using learner strategies"
115,Grammar
116,Grammarcast
117,Grammarcast: More SVA!
118,Chronicles of Captain Connector
119,Let's Use
120,Word Stacker
121,Adverbials in Action
122,App Review
123,Distinguish between verbs with different time/tense/aspect
124,Form preposition phrases
125,Use adverbials to expand sentences
126,"Vary the way sentences are written using: dummy subjects, if-clauses and inversion"
127,Use punctuation appropriately
128,"Use error analysis to: identify errors, define errors, explain rules and edit errors"
129,Create cohesion in texts by: using conjunctive adverbs appropriately
130,Recognise and use the predominant language features to achieve the intended purposes of the various texts
131,Use grammatical items learnt at the primary levels
132,Vocabulary
133,Word Power
134,Fast Phrasals
135,Into the Deep
136,App Review
137,Deduce the meaning of words from how they are formed
138,Deduce the meaning of words from how they relate to one another
139,Deduce the meaning of words from how they are used in context
140,"Deduce the meaning of fixed expressions and words used for literary effect, from how they are used in context"
141,Deduce how semiotic modes convey meaning in texts
142,Develop rich vocabulary
143,"Use words suitable for purpose, audience, context and culture in relation to: region and types of texts for different purposes"
144,"Use phrasal verbs, collocations, idioms and proverbs accurately and appropriately"
145,"Recognise, appreciate and use words for effect"
146,Use words meaningfully in conjunction with semiotic modes
147,Others
148,English After School
149,An Alien’s Mission
150,Voices at Play
