1,Pengenalan JATi
2,mengenali bahan pengajaran dan pembelajaran JATi
3,Unit 1: Waktu Ada Jangan Dimakan \u2026
4,Bahagian 1 Masa Itu Emas
5,mengaitkan ehwal semasa dengan topik perbincangan
6,Bahagian 2 Mahu Buat Apa?
7,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)\u00a0
8,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
9,menggunakan aspek bahasa yang lain dengan betul dalam konteks
10,Unit 2: Air dalam Terenang
11,Bahagian 2 Semua Kena Jaga!
12,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)\u00a0
13,"Bahagian 3 Seorang Baik, Semua Baik!"
14,mengaitkan ehwal semasa dengan topik perbincangan
15,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
16,Unit 3: Asam Garam Kehidupan
17,Bahagian 2 Mengenang Kembali
18,mengaitkan ehwal semasa dengan topik perbincangan
19,Bahagian 3 Mengabadikan Kenangan
20,New node
21,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
22,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
23,Unit 4: Alam Terkembang Menjadi Guru
24,Bahagian 2 Menimba Apa?
25,mengaitkan ehwal semasa dengan topik perbincangan
26,Bahagian 3 Kalau Saya Ingin Merantau ...
27,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menghayati isi (1.2)
28,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
29,Unit 5: Kalau Baik Dijadikan Teladan ...
30,Bahagian 2 Ikut-ikutan
31,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)
32,mengaitkan ehwal semasa dengan topik perbincangan
33,Bahagian 3 Yang Mengikuti dan Yang Diikuti
34,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
35,Unit 6: Kasih Sepantun Tulisan Pinggan
36,Bahagian 1 Soal Cinta
37,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)
38,Bahagian 3 Memburu Cinta
39,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
40,mengaitkan ehwal semasa dengan topik perbincangan
41,Unit 7: Ilmu Pelita Hati
42,Bahagian 1 Bersediakah Aku?
43,mendengar penerangan dalam video untuk menghayati isi tentang ilmu dan kemahiran dalam pekerjaan masa depan (1.1)
44,"Bahagian 2 Perkaya Ilmu, Perkasa Diri"
45,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)
46,mengaitkan ehwal semasa dengan topik perbincangan
47,Bahagian 3 Melangkah Jauh
48,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
49,"Unit 8: Esa Hilang, Dua Terbilang"
50,Bahagian 1 Mengejar Impian
51,mengaitkan ehwal semasa dengan topik perbincangan
52,Bahagian 2 Manifestasi Mimpi
53,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
54,Isu Kontemporari & Isu Semasa
55,Ehwal Semasa
56,mengaitkan ehwal semasa dengan topik perbincangan
57,Teroka Berita Harian & Berita Mediacorp
58,bersoal jawab tentang sesuatu perkara untuk mendapatkan maklumat lanjut (5.1)
59,berbincang untuk mengemukakan idea/ pendapat/pandangan tentang sesuatu perkara (5.2)
60,berbincang untuk menyokong atau menolak pandangan orang lain bagi mencapai keputusan (5.3)
61,Bahan Tambahan
62,Pengetahuan Bahasa
63,menggunakan bentuk kata dengan betul dalam pelbagai konteks
64,menggunakan golongan kata dengan betul dalam pelbagai konteks
65,menggunakan frasa dengan betul dalam pelbagai konteks
66,menggunakan dan membina ayat dengan betul dalam pelbagai konteks
67,menggunakan aspek bahasa yang lain dengan betul dalam konteks
68,Bacaan Luas
69,Penulisan
70,Bahan Pengayaan
71,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
72,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menilai isi (1.3)
73,bertutur untuk menyampaikan sesuatu perkara (2.2)
74,bertutur untuk menerangkan idea/pendapat/pandangan (2.3)
