1,Pengenalan JATi
2,mengenali bahan pengajaran dan pembelajaran JATi
3,Unit 1: Senggang. Sendiri. Bersama!
4,Bahagian 1 Aku Ada Masa!
5,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
6,Bahagian 3 Masa Bersama!
7,mengaitkan ehwal semasa dengan topik perbincangan
8,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
9,Unit 2: Aku Mampu!
10,Bahagian 2: Positif Lebih Baik!
11,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
12,mengaitkan ehwal semasa dengan topik perbincangan
13,Bahagian 3 Aku Boleh!
14,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
15,"Unit 3: Wah, Sudah Besar!"
16,Bahagian 1 Langkah Demi Langkah
17,bertutur untuk menerangkan idea/pendapat/ pandangan (2.3)
18,mengaitkan ehwal semasa dengan topik perbincangan
19,Bahagian 3 Sudah Bersedia?
20,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
21,menghasilkan pelbagai penulisan berbentuk naratif (4.2)
22,Unit 4: Mari Teroka!
23,Bahagian 1 Dekat di Mata
24,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)\u00a0
25,Bahagian 2 Mula Melangkah
26,mengaitkan ehwal semasa dengan topik perbincangan
27,Bahagian 3 Merakam Pengalaman
28,mengembangkan idea yang dijana (4.1)
29,Unit 5: Trend. Budaya. Popular!
30,Bahagian 1 Terikut-ikut?
31,mengaitkan ehwal semasa dengan topik perbincangan
32,Bahagian 2 Sudah Menjadi?
33,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)
34,Bahagian 3 Ikut Serta?
35,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
36,Unit 6: Erti Cinta
37,Bahagian 2 Butakah Cinta?
38,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
39,mengaitkan ehwal semasa dengan topik perbincangan
40,Bahagian 3 Kuasa Cinta
41,menghasilkan penulisan berbentuk karangan naratif (4.2)
42,Unit 7: Tajamkan Minda
43,Bahagian 2 Tambah Nilai
44,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
45,bertukar-tukar fakta dan maklumat (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) tentang sesuatu perkara secara bertulis (6.1)
46,Bahagian 3 Terus Menyinar
47,mengaitkan ehwal semasa dengan topik perbincangan
48,Unit 8: Mengatur Langkah
49,Bahagian 2 Langkah Seterusnya
50,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
51,mengaitkan ehwal semasa dengan topik perbincangan
52,mengembangkan idea yang dijana (4.1)
53,Isu Kontemporari & Isu Semasa
54,Ehwal Semasa
55,mengaitkan ehwal semasa dengan topik perbincangan
56,Teroka Berita Harian & Berita Mediacorp
57,bersoal jawab tentang sesuatu perkara untuk mendapatkan maklumat lanjut (5.1)
58,berbincang untuk mengemukakan idea/ pendapat/pandangan tentang sesuatu perkara (5.2)
59,berbincang untuk menyokong atau menolak pandangan orang lain bagi mencapai keputusan (5.3)
60,Bahan Tambahan
61,Pengetahuan Bahasa
62,menggunakan bentuk kata dengan betul dalam pelbagai konteks
63,menggunakan golongan kata dengan betul dalam pelbagai konteks
64,menggunakan frasa dengan betul dalam pelbagai konteks
65,menggunakan dan membina ayat dengan betul dalam pelbagai konteks
66,menggunakan aspek bahasa yang lain dengan betul dalam konteks
67,Bacaan Luas
68,Penulisan
69,Bahan Pengayaan
70,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
71,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menilai isi (1.3)
72,bertutur untuk menyampaikan sesuatu perkara (2.2)
73,bertutur untuk menerangkan idea/pendapat/pandangan (2.3)
