1,Pengenalan JATi
2,Unit 1: Percuma Tapi Berharga
3,"Bahagian 3 Nikmat Dirasa, Dikongsi Bersama"
4,mengaitkan ehwal semasa dengan topik perbincangan
5,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk memahami isi (1.1)
6,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
7,Unit 2: Peduli Diri
8,Bahagian 2 Cari Tahu
9,mengaitkan ehwal semasa dengan topik perbincangan
10,Bahagian 3 Terapkan
11,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menghayati isi (1.2)
12,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
13,Unit 3: Gelombang Perubahan
14,Bahagian 3 Terus Melangkah
15,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)\u00a0
16,berbincang untuk mengemukakan idea/ pendapat/pandangan tentang sesuatu perkara (5.2)
17,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
18,Unit 4: Tebarkan Sayapmu
19,Bahagian 1 Mahu Mengembara
20,mengaitkan ehwal semasa dengan topik perbincangan
21,Bahagian 2 Apakah Caranya?
22,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)\u00a0
23,"Bahagian 3 Jauh Perjalanan, Luas Pemandangan"
24,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
25,"Unit 5: Aku, Kita, Mereka?"
26,Bahagian 2 Sudah Jadi Trend
27,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menghayati isi (1.2)
28,mengaitkan ehwal semasa dengan topik perbincangan
29,Bahagian 3 Identiti?
30,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
31,Unit 6: Tatkala Cinta Berputik
32,Bahagian 2 Ketika Cinta Menyala
33,mengaitkan ehwal semasa dengan topik perbincangan
34,Bahagian 3 Cinta Monyet atau Cinta Abadi?
35,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menghayati isi (1.2)
36,menghasilkan pelbagai penulisan berbentuk informatif (4.3)
37,"Unit 7: Railah Ilmu, Raikan Dirimu"
38,Bahagian 2 Pelita Hidup
39,mengaitkan ehwal semasa dengan topik perbincangan
40,"Bahagian 3 Yang Elok, Kita Contohi"
41,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menghayati isi (1.2)
42,menyemak dan menyunting teks (4.4)
43,Unit 8: Berani Bermimpi
44,Pembuka Bicara
45,mendengar teks lisan (sama ada dengan penyertaan melihat atau sebaliknya) untuk menilai isi (1.3)
46,Bahagian 2 Menghidupkan Visi
47,mengaitkan ehwal semasa dengan topik perbincangan
48,Bahan Tambahan
49,Pengetahuan Bahasa
50,menggunakan bentuk kata dengan betul dalam pelbagai konteks
51,menggunakan golongan kata dengan betul dalam pelbagai konteks
52,menggunakan frasa dengan betul dalam pelbagai konteks
53,menggunakan dan membina ayat dengan betul dalam pelbagai konteks
54,menggunakan aspek bahasa yang lain dengan betul dalam konteks
55,Bacaan Luas
56,Penulisan
57,Bahan Pengayaan
58,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menghayati isi (1.2)
59,mendengar teks lisan (sama ada dengan penyertaan keupayaan melihat atau sebaliknya) untuk menilai isi (1.3)
60,bertutur untuk menyampaikan sesuatu perkara (2.2)
61,bertutur untuk menerangkan idea/pendapat/pandangan (2.3)
62,Isu Kontemporari & Isu Semasa
63,Ehwal Semasa
64,mengaitkan ehwal semasa dengan topik perbincangan
65,Teroka Berita Harian & Berita Mediacorp
66,bersoal jawab tentang sesuatu perkara untuk mendapatkan maklumat lanjut (5.1)
67,berbincang untuk mengemukakan idea/ pendapat/pandangan tentang sesuatu perkara (5.2)
68,berbincang untuk menyokong atau menolak pandangan orang lain bagi mencapai keputusan (5.3)
