1,2A தொகுதி 1 - நட்பு
2,கேட்டல்
3,வாய்மொழியாகவோ ஒலிப்பகுதியாகவோ ஒளிக்காட்சியாகவோ பெறப்படும் தகவல்களைக் கவனமாகக் கேட்டும் பார்த்தும் அவை உணர்த்தும் நேரடிப்பொருள் குறித்த புரிந்துணர்வை வெளிப்படுத்துவர்.
4,படித்தலும் நோக்கலும்
5,இலக்கியச் சோலை - எண்ணங்கள் நிலையானவை அல்ல
6,"பனுவலிலுள்ள சொற்றொடர்கள், பனுவலின் சாரம், அமைப்பு ஆகியவற்றைக்கொண்டு பனுவலின் வகையைக் கண்டறிந்து கூறுதல் (எ-டு - கதை, தகவல் பனுவல், விளக்கக் கட்டுரை, விவாத உரை, நாடகம், விளம்பரம், அழைப்பிதழ், கடிதம், மின்னஞ்சல், நகைச்சுவைத் துணுக்கு)"
7,பலவிதமான பனுவல்களை மேலோட்டமாகவும் ஆழமாகவும் படித்துப் புரிந்துகொள்வர்.
8,2A தொகுதி 2 - பொழுதுபோக்கு
9,2A தொகுதி 3 - சுற்றுச்சூழல் பாதுகாப்பு
10,2A தொகுதி 4 - தமிழ்நாட்டு மன்னர்கள்
11,கூடுதல் வளங்கள்
12,நடப்புச் செய்திகள்
13,தேவைக்கேற்பப் பல்வேறு பனுவல்களைப் பயன்நோக்கிப் படித்துப் பகுத்தாய்வர்.
14,2B தொகுதி 1 - நேற்று இன்று நாளை
15,2B தொகுதி 2- நிதியறிவு
16,2B தொகுதி 3- இளையர்களும் சமூகமும்
