[1, 'Listening & Viewing']
[2, 'Sailing the Seas of Critical Literacy']
[3, 'Listen Up']
[4, 'Listen and View!']
[5, 'All Ears!']
[6, 'Voices at Play: Strategy Toolkits']
[7, 'Voices at Play: Core Texts']
[8, 'Into the Deep']
[9, 'App Review']
[10, 'Voices at Play: Out of the Box']
[11, 'Listen and view with empathy and respect']
[12, 'Indicate response appropriately while listening and viewing']
[13, 'Listen and respond with appropriate conversational repair strategies']
[14, 'Listen and view attentively to participate effectively in a variety of contexts']
[15, 'Recognise that prosodic features and their variations contribute to the meaning of an utterance']
[16, 'Recognise that non-fluency features of spoken language contribute to the meaning of an utterance']
[17, 'Draw on prior knowledge and contextual clues to facilitate comprehension of texts']
[18, 'Listen and view actively to interpret texts']
[19, 'Compare and contrast information between: two or more ideas; topics or themes across texts']
[20, 'Make text-to-self, text-to-text and text-to-world connections']
[21, 'Use metacognitive strategies to actively regulate listening and viewing']
[22, 'Listen to, view and respond to a variety of texts for understanding and enjoyment']
[23, 'Listen and view attentively and for a sustained period']
[24, 'Identify different points of view']
[25, 'Distinguish fact from opinion']
[26, 'Identify and make connections between: problem(s) and solution(s) in a text; cause and effect in a text']
[27, 'Draw conclusions from: main ideas, key details, and specific examples from a text; prior knowledge; contextual clues']
[28, 'Make generalisations by identifying patterns from more than one source']
[29, 'Form questions to evaluate the text']
[30, 'Identify and analyse how semiotic modes work together to achieve a variety of purposes']
[31, 'Determine the credibility of the speaker or source']
[32, 'Evaluate the relevance of the information']
[33, 'Appreciate the diverse varieties of English spoken in the world and recognise that these represent cultural identity']
[34, 'Apply the knowledge from listening and viewing in reading, speaking, writing and representing to demonstrate the meaningful use of language']
[35, 'Apply metacognitive strategies to actively regulate listening and viewing: Plan, identify and select a combination of listening and viewing strategies to suit text, purpose, task and context']
[36, 'Apply metacognitive strategies to actively regulate listening and viewing: Monitor the use of selected strategies during and after listening and/ or viewing']
[37, 'Apply metacognitive strategies to actively regulate listening and viewing: Evaluate the effectiveness of the use of strategies based on self-appraisal or feedback from others']
[38, 'Apply metacognitive strategies to actively regulate listening and viewing: Reflect, revise and adjust the use of selected strategies for future listening and viewing activities']
[39, 'Speaking & Representing']
[40, 'Voice Qualities']
[41, 'Can You Deliver?']
[42, 'Spoken Interaction']
