1,Listening & Viewing
2,Sailing the Seas of Critical Literacy
3,Listen Up
4,Listen and View!
5,All Ears!
6,Voices at Play: Strategy Toolkits
7,Voices at Play: Core Texts
8,Into the Deep
9,App Review
10,Voices at Play: Out of the Box
11,Listen and view with empathy and respect
12,Indicate response appropriately while listening and viewing
13,Listen and respond with appropriate conversational repair strategies
14,Listen and view attentively to participate effectively in a variety of contexts
15,Recognise that prosodic features and their variations contribute to the meaning of an utterance
16,Recognise that non-fluency features of spoken language contribute to the meaning of an utterance
17,Draw on prior knowledge and contextual clues to facilitate comprehension of texts
18,Listen and view actively to interpret texts
19,Compare and contrast information between: two or more ideas
20,"Make text-to-self, text-to-text and text-to-world connections"
21,Apply metacognitive strategies to actively regulate listening and viewing
22,"Listen to, view and respond to a variety of texts for understanding and enjoyment"
23,Listen and view attentively and for a sustained period
24,Identify different points of view
25,Distinguish fact from opinion
26,"Draw conclusions from main ideas, key details and specific examples from a text"
27,Draw conclusions from prior knowledge
28,Draw conclusions from contextual clues
29,Identify and analyse how semiotic modes work together to achieve a variety of purposes
30,Compare and contrast different texts to deepen understanding of the speaker's craft in achieving his/ her purpose
31,Determine the credibility of the speaker or source
32,Evaluate the relevance and soundness of the message or arguments
33,Appreciate the diverse varieties of English spoken in the world and recognise that these represent cultural identity
34,"Apply the knowledge from listening and viewing in reading, speaking, writing and representing to demonstrate the meaningful use of language"
35,"Apply metacognitive strategies to actively regulate listening and viewing: Plan, identify and select a combination of listening and viewing strategies to suit text, purpose, task and context"
36,Apply metacognitive strategies to actively regulate listening and viewing: Monitor the use of selected strategies during and after listening and/ or viewing
37,Apply metacognitive strategies to actively regulate listening and viewing: Evaluate the effectiveness of the use of strategies based on self-appraisal or feedback from others
38,"Apply metacognitive strategies to actively regulate listening and viewing: Reflect, revise and adjust the use of selected strategies for future listening and viewing activities"
39,Speaking & Representing
40,Voice Qualities
41,Can You Deliver?
42,Spoken Interaction
43,Voice Against the Void
44,Voices at Play: Strategy Toolkits
45,Right on Target
46,Know Your Role
47,App Review
48,Discussion Strategies
49,Recognise features of spoken language
50,Recognise that varying one’s language structure can be understood in different ways and convey different meanings
51,Recognise and apply word stress patterns accurately
52,Recognise and demonstrate the use of appropriate prosodic features for expression and fluency
53,"Identify and set goals for the purpose of speaking and representing according to situations which may be personal, academic, creative and imagined taking into account the increasing complexity of tasks and texts"
54,"Draw on prior knowledge, including that of: subject matter, rules of engagement with listeners and organisational structures of texts"
55,"Generate ideas and details appropriate to purpose, audience, context and culture"
56,"Develop and organise ideas for speaking and representing through active discussion by: elaborating on topics, giving details, anecdotes and concrete examples to illustrate a point and supporting opinions/ideas with reasons"
57,Participate respectfully in discussion by: upholding agreed-upon rules of exchange
58,"Speak and represent clearly and appropriately according to social conventions for specific purposes, audiences, contexts and cultures when: introducing self/others, making different types of requests, expressing appreciation and gratitude and stating opinions and thoughts"
59,Speak and represent to achieve cohesion through: using vocabulary and using grammar
60,Speak and represent with cohesion and coherence by combining different semiotic modes
61,Speak and represent with confidence using different semiotic modes appropriately to fulfil various purposes
62,"Self-adjust planned speech by reviewing intended: purposes of speech, audience, content of speech and organisation and flow of speech"
63,"Monitor self and others in order to correct mispronounced words, and adjust inappropriate use of prosodic features"
64,Revise speech immediately after speaking to adjust and improve communication based on response/feedback from listener(s) through: repetition and clarification
65,Speak and represent with clarity and fluency by: using appropriate features of spoken language and using appropriate prosodic features
66,Develop and organise ideas for speaking and representing through active discussion by restating main points to reinforce ideas or focus on objective(s); drawing / stating conclusions by pointing out observations about the gist/ main idea and key details
67,Participate respectfully in discussion by seeking agreement for discussion outcomes thoughtfully
68,"Develop, articulate and represent ideas through speaking and representing in the moment according to the response of listener(s) in the course of discussions, conversations, role-play, and debates"
69,Speak to engage the listener(s) by: anticipating the reaction of the listener(s) and responding to it respectfully
70,"Select and evaluate information and ideas from a variety of print, non-print and digital networked sources according to the speaker’s purpose, needs of the audience, context and culture"
71,Consider how various semiotic features work together to convey the intended message
72,"Revise speech upon further reflection after speaking to adjust and improve communication based on response/ feedback from listener(s) considering: coherence, cohesion, semiotic features"
73,Reading & Viewing
74,Words for Impact!
75,Read and Respond!
76,Read Like a Detective
77,All Action Comprehension
78,Reading Up
79,Research Brick by Brick
80,Sailing the Seas of Critical Literacy
81,Voices at Play: Strategy Toolkits
82,Take Your Pick!
83,Into the Deep
84,App Review
85,Determine main ideas and supporting details
86,Sequence complex details
87,Categorise and classify different details
88,Make inferences to draw conclusions
89,Identify different or multiple points of view
90,Decipher the purpose and audience of texts read and/or viewed
91,"Make interpretations from the text as a whole based on: contextual information, writer's point of view and implied information"
92,Analyse organisational patterns in a text for the flow of ideas in order to identify the organisational structure of a text
93,"Justify a personal or critical response to texts with: description, reasons and evidence"
94,"Evaluate the soundness/objectivity of the given information, recommendation or line of thought based on: reasons/evidence"
95,"Analyse how a writer's choice of semiotic modes can shape or enhance meaning and the appeal of the text according to purpose, audience, context and culture"
96,Apply metacognitive strategies to actively regulate reading and viewing
97,Ask a variety of questions at different levels about the texts read and/or viewed
98,Interpret and integrate information from a variety of print and non-print sources
99,"Read and view a variety of texts, including multimodal and hybrid texts, of suitable complexity and length on a diverse range of Singapore, Asian, contemporary and international themes/topics for different purposes"
100,"Explore and analyse the appropriate use of language, including literary language and word play, and how they influence the intended meaning and impact of the writing"
101,Summarise ideas from one/ multiple paragraphs or an extract
102,Synthesise information by combining ideas or texts in a variety of ways
103,Cite evidence or sources to credit information in appropriate ways
104,Identify and analyse techniques used in written and visual texts to communicate information
105,Recognise writers' intentions
106,Compare and contrast ideas
107,Establish criteria for responding to texts
108,Make generalisations
109,Solve problems imaginatively and creatively
110,Provide and interpret evidence to support an understanding or a position on the issue/ topic/ theme
111,Establish extent of agreement or disagreement with supporting evidence to reconcile discrepancy
112,Abstract ideas/ themes from a text and apply them to a new situation
113,Demonstrate understanding of how a writer's style can impact how meaning is represented or interpreted to enhance the appeal of a text or its organisational structure
114,Identify and compare specific characteristics/ features in different literary texts and link them to common points of interest
115,"Navigate and gather information from a range of print, non-print and digital networked sources"
116,Paraphrase information or ideas using own words or synonyms/antonyms
117,Show interest in reading and viewing
118,Make predictions about what might be presented next in the text and refine predictions as the text is read and/or viewed
119,"Draw on prior knowledge and contextual clues to facilitate comprehension of texts (e.g., how semiotic modes convey meaning)"
120,Writing & Representing
121,Mightier than the Sword
122,The Science of Writing
123,Personal X Critical Responder Yagami
124,Chronicles of SS Sang Nila
125,Graphic Content Ahead
126,Reviewing & Revising with Writing Cat!
127,Voices at Play: Strategy Toolkits
128,How to Learn Spelling
129,Into the Deep
130,Follow My Lead!
131,App Review
132,Write accurately by applying spelling strategies
133,Write accurately using knowledge of grammar and vocabulary
134,Apply spelling rules and conventions consistently
135,"Plan by identifying the purpose, audience, context and culture (which determine register and tone), and by setting goals for assigned or self-selected writing and representing tasks or topics"
136,"Stimulate imagination, generate, gather and/or construct ideas appropriate to the writing and representing tasks, topics and goals, both individually and collaboratively, using learner strategies"
137,"Gather and select information and ideas from one or multiple print, non-print and digital networked sources, appropriate to the writer’s purpose, needs of the audience, context and culture"
138,"Use and/or combine information from texts to create new understandings and ideas, according to purpose, audience, context and culture"
139,"Ensure coherence and cohesion in a text by: selecting organisational patterns appropriate to purpose, audience, context and culture, using language signals to help the reader follow the development of ideas and/or line of argument and selecting and using a combination of semiotic features such that they contribute to the overall meaning of the text"
140,"Elaborate on, explain, support and/or justify the key points, events or plot of a text by providing relevant descriptive, factual, emotive or sensory details and/or examples, where appropriate"
141,"Introduce the main idea in a paragraph using key words, phrases and clauses or a topic sentence, where appropriate"
