1,Experimental Chemistry
2,Experimental Design
3,"1.1(a) name appropriate apparatus for the measurement of time, temperature, mass and volume; including burettes, pipettes, measuring cylinders and gas syringes"
4,"1.1(b) suggest suitable apparatus, given relevant information, for a variety of simple experiments, including drying and collection of gases and measurement of rates of reaction (drying agents will be limited to calcium oxide, concentrated sulfuric acid and fused calcium chloride)"
5,Methods of Purification and Analysis
6,"1.2(a)(i) describe methods of separation and purification for the components of mixtures, to include use of a suitable solvent, filtration and crystallisation or evaporation"
7,"1.2(a)(ii) describe methods of separation and purification for the components of mixtures, to include sublimation"
8,"1.2(a)(iii) describe methods of separation and purification for the components of mixtures, to include distillation and fractional distillation (see also 11.1(b))"
9,"1.2(a)(iv) describe methods of separation and purification for the components of mixtures, to include use of a separating funnel"
10,"1.2(a)(v) describe methods of separation and purification for the components of mixtures, to include paper chromatography"
11,"1.2(b)(i) suggest suitable separation and purification methods, given information about the substances involved in the following types of mixtures: solid-solid"
12,"1.2(b)(ii) suggest suitable separation and purification methods, given information about the substances involved in the following types of mixtures: solid-liquid"
13,"1.2(b)(iii) suggest suitable separation and purification methods, given information about the substances involved in the following types of mixtures: liquid-liquid (miscible and immiscible)"
14,1.2(c) interpret paper chromatograms including comparison with 'known' samples and the use of Rf values
15,1.2(d) explain the need to use locating agents in the chromatography of colourless compounds (knowledge of specific locating agents is not required)
16,1.2(e) deduce from the given melting point and boiling point data the identities of substances and their purity
17,"1.2(f) explain the importance of measuring the purity in substances used in everyday life, e.g. foodstuffs and drugs"
18,The Particulate Nature of Matter
19,Kinetic Particle Theory
20,"2.1(a) describe the solid, liquid and gaseous states of matter and explain their interconversion in terms of the kinetic particle theory and of the energy changes involved"
21,2.1(b) describe and explain evidence for the movement of particles in liquids and gases (the treatment of Brownian motion is not required)
22,"2.1(c) explain everyday effects of diffusion in terms of particles, e.g. the spread of perfumes and cooking aromas; tea and coffee grains in water"
23,2.1(d) state qualitatively the effect of molecular mass on the rate of diffusion and explain the dependence of rate of diffusion on temperature
24,Atomic Structure
25,"2.2(a) state the relative charges and approximate relative masses of a proton, a neutron and an electron"
26,"2.2(b) describe, with the aid of diagrams, the structure of an atom as consisting of protons and neutrons (nucleons) in the nucleus and electrons arranged in shells (energy levels) (knowledge of s, p, d and f classification is not required; a copy of the Periodic Table will be available in Papers 1 and 2)"
27,2.2(c) define proton (atomic) number and nucleon (mass) number
28,2.2(d) interpret and use symbols such as
29,2.2(e) define the term isotopes
30,"2.2(f) deduce the numbers of protons, neutrons and electrons in atoms and ions given proton and nucleon numbers"
31,Chemical Bonding and Structure
32,Ionic Bonding
33,3.1(a) describe the formation of ions by electron loss/gain and that these ions usually have the electronic configuration of a noble gas
34,"3.1(b) describe, including the use of 'dot-and-cross' diagrams, the formation of ionic bonds between metals and non-metals, e.g. NaCl; MgCl2"
35,"3.1(c) state that ionic materials contain a giant lattice in which the ions are held by electrostatic attraction, e.g. NaCl (candidates will not be required to draw diagrams of ionic lattices)"
36,3.1(d) relate the physical properties (including electrical property) of ionic compounds to their lattice structure (see also 3.4(g))
37,Covalent Bonding
38,3.2(a) describe the formation of a covalent bond by the sharing of a pair of electrons and that the atoms in the molecules usually have the electronic configuration of a noble gas
39,"3.2(b) describe, using 'dot-and-cross' diagrams, the formation of covalent bonds between non-metallic elements, e.g. H2; O2; H2O; CH4; CO2"
40,3.2(c) deduce the arrangement of electrons in other covalent molecules
41,3.2(d) relate the physical properties (including electrical property) of covalent substances to their structure and bonding (see also 3.4(g))
42,Metallic Bonding
43,3.3(a) describe metals as a lattice of positive ions in a 'sea of electrons'
44,"3.3(b) describe the general physical properties of metals as solids having high melting and boiling points, malleable, good conductors of heat and electricity in terms of their structure (see also 3.4(g))"
45,Structure and Properties of Materials
46,"3.4(a) describe the differences between elements, compounds and mixtures"
47,"3.4(b) describe an alloy as a mixture of a metal with another element, e.g. brass; stainless steel"
48,3.4(c) identify representations of metals and alloys from diagrams of structures
49,3.4(d) explain why alloys have different physical properties to their constituent elements
50,"3.4(e)(i) compare the structures of the following substances in order to deduce their properties: simple molecular substances, e.g. methane, iodine (see also 3.4(g))"
51,"3.4(e)(ii) compare the structures of the following substances in order to deduce their properties: macromolecules, e.g. poly(ethene) (see also 3.4(g))"
52,"3.4(e)(iii) compare the structures of the following substances in order to deduce their properties: giant covalent substances, e.g. sand (silicon dioxide), diamond, graphite (see also 3.4(g))"
53,"3.4(f) compare the bonding and structures of diamond and graphite in order to deduce their properties such as electrical conductivity, lubricating or cutting action (candidates will not be required to draw the structures)"
54,"3.4(g) deduce the physical and chemical properties of substances from their structures and bonding and vice versa (see also 3.1(d), 3.2(d), 3.3(b) and 3.4(e))"
55,Chemical Calculations
56,Formulae and Equation Writing
57,4.1(a) state the symbols of the elements and formulae of the compounds mentioned in the syllabus
58,4.1(b) deduce the formulae of simple compounds from the relative numbers of atoms present and vice versa
59,4.1(c) deduce the formulae of ionic compounds from the charges on the ions present and vice versa
60,4.1(d) interpret chemical equations with state symbols
61,"4.1(e) construct chemical equations, with state symbols, including ionic equations"
