1,Measurements
2,Physical Quantities Units and Measurement
3,show an understanding that physical quantities typically consist of a numerical magnitude and a unit
4,"recall the following base quantities and their units: mass (kg), length (m), time (s), current (A), temperature (K), amount of substance (mol)"
5,"use the following prefixes and their symbols to indicate decimal sub-multiples and multiples of the SI units: nano (n), micro (), milli (m), centi (c), deci (d), kilo (k), mega (M), giga (G), tera (T)"
6,show an understanding of the orders of magnitude of the sizes of common objects ranging from a typical atom to the Earth
7,"select and explain the use of appropriate measuring instruments to measure or determine physical quantities listed in 'Summary of key quantities, symbols and units' taking into consideration the range and precision of the instrument"
8,state what is meant by scalar and vector quantities and give common examples of each
9,add two vectors to determine a resultant by a graphical method
10,Newtonian Mechanics
11,Kinematics
12,state what is meant by speed and velocity
13,calculate average speed = distance travelled / time taken
14,state what is meant by uniform acceleration and calculate the value of acceleration using change in velocity / time taken
15,interpret given examples of non-uniform acceleration
16,plot and interpret a displacement-time graph and a velocity-time graph for motion in one dimension
17,"deduce from the shape of a displacement-time graph when a body is:
(i) at rest
(ii) moving with uniform velocity
(iii) moving with non-uniform velocity"
18,"deduce from the shape of a velocity-time graph when a body is:
(i) at rest
(ii) moving with uniform velocity
(iii) moving with uniform acceleration
(iv) moving with non-uniform acceleration"
19,"calculate the area under a velocity-time graph to determine the displacement, for motion with uniform velocity or uniform acceleration"
20,state that the acceleration of free fall for a body near to the Earth is constant and is approximately 10 m/s2
21,Dynamics
22,"identify and distinguish between contact forces (e.g. friction, air resistance, tension and normal force) and non-contact forces (e.g. gravitational, electrostatic and magnetic forces)"
23,state that mass is a measure of the amount of matter in a body
24,state that a gravitational field is a region in which a mass experiences a force due to gravitational attraction
25,"define gravitational field strength, g, as gravitational force per unit mass placed at that point"
26,recall and apply the relationship weight = mass  gravitational field strength to new situations or to solve related problems
27,distinguish between mass and weight
28,"apply Newton's Laws to:
(i) describe the effect of balanced and unbalanced forces on a body
(ii) describe the ways in which a force may change the motion of a body
(iii) identify action-reaction pairs acting on two interacting bodies
(stating of Newton's Laws is not required)"
