1,Cells and the Chemistry of Life
2,Cell Structure and Organisation
3,"(a) identify and state the functions of the following cell structures (including organelles) of typical plant and animal cells from diagrams, light micrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: cell wall"
4,"(a) identify and state the functions of the following cell structures (including organelles) of typical plant and animal cells from diagrams, light micrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: cell membrane"
5,"(a) identify and state the functions of the following cell structures (including organelles) of typical plant and animal cells from diagrams, light micrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: cytoplasm"
6,"(a) identify and state the functions of the following cell structures (including organelles) of typical plant and animal cells from diagrams, light micrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: nucleus"
7,"(a) identify and state the functions of the following cell structures (including organelles) of typical plant and animal cells from diagrams, light micrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: cell vacuoles (large, sap-filled in plant cells, small, temporary in animal cells)"
8,"(a) identify and state the functions of the following cell structures (including organelles) of typical plant and animal cells from diagrams, light micrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: chloroplasts"
9,(b) identify and state the functions of the following organelles from diagrams and electron micrographs: mitochondria
10,(b) identify and state the functions of the following organelles from diagrams and electron micrographs: ribosomes
11,(c) compare the structure of typical animal and plant cells
12,"(d) explain how the structures of specialised cells are adapted to their functions (e.g. muscle cell - many mitochondria to supply more energy, root hair cell - large surface area of cell membrane for greater absorption, red blood cell - lack of nucleus allowing it to transport more oxygen)"
13,Movement of Substances
14,(a) define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans
15,"(b) define osmosis, investigate and describe the effects of osmosis on plant and animal tissues"
16,Biological Molecules
17,"(a) state the main roles of carbohydrates, fats and proteins in living organisms: carbohydrates as an immediate source of energy"
18,"(a) state the main roles of carbohydrates, fats and proteins in living organisms: fats for insulation and long-term storage of energy"
19,"(a) state the main roles of carbohydrates, fats and proteins in living organisms: proteins for growth and repair of cells"
20,(b) describe and carry out tests for starch (using iodine in potassium iodide solution)
21,(b) describe and carry out tests for reducing sugars (using Benedict's solution)
22,(b) describe and carry out tests for protein (using biuret solution)
23,(b) describe and carry out tests for fats (using ethanol)
24,"(c) state that large molecules are synthesised from smaller basic units: cellulose, glycogen and starch from glucose"
25,(c) state that large molecules are synthesised from smaller basic units: polypeptides and proteins from amino acids
26,(c) state that large molecules are synthesised from smaller basic units: lipids such as fats from glycerol and fatty acids
27,"(d) explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex and enzyme specificity using the 'lock and key' hypothesis"
28,(e) investigate and explain the effects of temperature and pH on the rate of enzyme catalysed reactions
29,The Human Body - Maintaining Life
30,Nutrition in Humans
31,"(a) describe the functions of the various parts of the digestive system: mouth, salivary glands, oesophagus, stomach, duodenum, pancreas, gall bladder, liver, ileum, colon, rectum, anus, in relation to ingestion, digestion, absorption, assimilation and egestion of food, as appropriate"
32,"(b) describe the functions of enzymes (e.g. amylase, maltase, protease, lipase) in digestion, listing the substrates and end-products"
33,(c) state the function of the hepatic portal vein as the transport of blood rich in absorbed nutrients from the small intestine to the liver
34,(d) state the role of the liver in conversion of glucose to glycogen and vice versa
35,(d) state the role of the liver in fat digestion
36,(d) state the role of the liver in metabolism of amino acids and formation of urea
37,(d) state the role of the liver in breakdown of alcohol
38,(d) state the role of the liver in breakdown of hormones
39,"(e) define a hormone as a chemical substance, produced by a gland, carried by the blood, which alters the activity of one or more specific target organs"
40,(f) outline how blood glucose concentration is regulated by insulin and glucagon
41,(g) describe type 2 diabetes mellitus in terms of a persistently higher than normal blood glucose concentration due to the body's resistance to insulin or insufficient production of insulin
42,(h) identify the risk factors of (e.g. unhealthy diet and sedentary lifestyle) and ways to manage type 2 diabetes mellitus
43,Transport in Humans
44,"(a) identify the main blood vessels to and from the heart, lungs, liver and kidney"
45,"(b) relate the structures of arteries, veins and capillaries to their functions (specific names of muscle layers in arteries and veins are not required)"
46,(c) state the components of blood and their roles in transport and defence: red blood cells - haemoglobin for oxygen transport
47,"(c) state the components of blood and their roles in transport and defence: plasma - transport of blood cells, ions, soluble food substances, hormones, carbon dioxide, urea, vitamins, plasma proteins"
48,"(c) state the components of blood and their roles in transport and defence: white blood cells - phagocytosis, antibody formation and tissue rejection"
49,"(c) state the components of blood and their roles in transport and defence: platelets - fibrinogen to fibrin, causing clotting"
50,"(d) describe the structure and function of the heart in terms of muscular contraction and the working of valves (histology of the heart muscle, names of nerves and transmitter substances are not required)"
51,"(e) describe coronary heart disease in terms of the occlusion of coronary arteries and list the possible causes, such as unhealthy diet, sedentary lifestyle, and smoking, stating the possible preventative measures"
52,Respiration in Humans
53,"(a) identify the larynx, trachea, bronchi, bronchioles, alveoli and associated capillaries and state their functions in human gaseous exchange"
54,(b) explain how the structure of an alveolus is suited for its function of gaseous exchange
55,"(c) state the major toxic components of tobacco smoke - nicotine, tar and carbon monoxide, and describe their effects on health"
56,(d) define aerobic respiration in human cells as the release of energy by the breakdown of glucose in the presence of oxygen and state the word equation
57,(e) define anaerobic respiration in human cells as the release of energy by the breakdown of glucose in the absence of oxygen and state the word equation
58,"(f) explain why cells respire anaerobically during vigorous exercise resulting in an oxygen debt that is removed by rapid, deep breathing after exercise"
59,Infectious Diseases in Humans
60,(a) state that infectious diseases can be spread from person to person whereas non-infectious diseases cannot and identify examples of each
61,"(b) explain that infectious diseases are caused by pathogens such as bacteria and viruses and can be spread from person to person through body fluids, food and water (knowledge of the structure of bacteria and viruses is not required)"
62,(c) state the signs and symptoms of influenza - caused by the influenza virus
63,"(c) state the signs and symptoms of pneumococcal disease - caused by the bacteria, pneumococcus"
64,(d) describe the transmission and methods to reduce the transmission of influenza virus
65,(d) describe the transmission and methods to reduce the transmission of pneumococcus
66,(e) state that vaccines contain an agent that resembles a pathogen and prevent infectious diseases by stimulating white blood cells to quickly produce antibodies when the pathogen invades
67,(f) state that antibiotics kill bacteria and are ineffective against viruses
68,(g) explain that the misuse and overuse of antibiotics may accelerate the emergence of antibiotic-resistant bacteria
69,"Living Together - Plants, Animals and Ecosystems"
70,Nutrition and Transport in Flowering Plants
71,"(a) identify the cellular and tissue structure of a dicotyledonous leaf, as seen in transverse section using the light microscope and describe the significance of these features in terms of their functions, such as the distribution of chloroplasts for photosynthesis"
72,"(a) identify the cellular and tissue structure of a dicotyledonous leaf, as seen in transverse section using the light microscope and describe the significance of these features in terms of their functions, such as the stomata and mesophyll cells for gaseous exchange"
73,"(a) identify the cellular and tissue structure of a dicotyledonous leaf, as seen in transverse section using the light microscope and describe the significance of these features in terms of their functions, such as the vascular bundles for transport"
74,"(b) identify the positions of and state the functions of xylem vessels and phloem in sections of a herbaceous dicotyledonous leaf and stem, under the light microscope"
75,(c) explain how the structure of a root hair cell is suited for its function of water and ion uptake
76,(d) state that chlorophyll absorbs light energy and converts it into chemical energy for the formation of carbohydrates and their subsequent uses
77,(e) briefly explain why most forms of life are completely dependent on photosynthesis
78,(f) state the word equation for photosynthesis (details of light-dependent and light-independent stages are not required)
79,(g) describe how carbon dioxide reaches mesophyll cells in a leaf
80,"(h) investigate and describe the effects of varying light intensity, carbon dioxide concentration and temperature on the rate of photosynthesis (e.g. in submerged aquatic plants)"
81,(i) state that transpiration is the loss of water vapour from the stomata
82,(j) briefly explain the movement of water through the stem in terms of transpiration pull
83,"(k) investigate and explain the effects of variation of air movement, temperature, humidity and light intensity on transpiration rate"
84,(k) investigate and explain how wilting occurs
85,(l) define the term translocation as the transport of food (mainly sucrose) in the phloem tissue
86,Organisms and their Environment
87,(a) describe the non-cyclical nature of energy flow
88,"(b) describe the roles of producers, consumers and decomposers in food chains and food webs"
