1,Experimental Chemistry
2,Experimental Design
3,"1.1(a) name appropriate apparatus for the measurement of time, temperature, mass and volume; including burettes, pipettes, measuring cylinders and gas syringes"
4,"1.1(b) suggest suitable apparatus, given relevant information, for a variety of simple experiments, including collection of gases"
5,Methods of Purification and Analysis
6,"1.2(a)(i) describe methods of separation and purification for the components of mixtures, to include use of a suitable solvent, filtration and crystallisation or evaporation"
7,"1.2(a)(ii) describe methods of separation and purification for the components of mixtures, to include distillation and fractional distillation (see also 8.1(b))"
8,"1.2(a)(iii) describe methods of separation and purification for the components of mixtures, to include paper chromatography"
9,"1.2(b)(i) suggest suitable separation and purification methods, given information about the substances involved in the following types of mixtures: solid-solid"
10,"1.2(b)(ii) suggest suitable separation and purification methods, given information about the substances involved in the following types of mixtures: solid-liquid"
11,"1.2(b)(iii) suggest suitable separation and purification methods, given information about the substances involved in the following types of mixtures: liquid-liquid (miscible)"
12,1.2(c) interpret paper chromatograms including comparison with 'known' samples (the use of Rf values is not required)
13,1.2(d) deduce from the given melting point and boiling point data the identities of substances and their purity
14,The Particulate Nature of Matter
15,Kinetic Particle Theory
16,"2.1(a) describe the solid, liquid and gaseous states of matter and explain their interconversion in terms of the kinetic particle theory and of the energy changes involved"
17,Atomic Structure
18,"2.2(a) state the relative charges and approximate relative masses of a proton, a neutron and an electron"
19,"2.2(b) describe, with the aid of diagrams, the structure of an atom as consisting of protons and neutrons (nucleons) in the nucleus and electrons arranged in shells (energy levels) (knowledge of s, p, d and f classification is not required; a copy of the Periodic Table will be available in the examination)"
20,2.2(c) define proton (atomic) number and nucleon (mass) number
21,2.2(d) interpret and use symbols such as
22,2.2(e) define the term isotopes
23,"2.2(f) deduce the numbers of protons, neutrons and electrons in atoms and ions given proton and nucleon numbers"
24,Chemical Bonding and Structure
25,Ionic Bonding
26,3.1(a) describe the formation of ions by electron loss/gain and that these ions usually have the electronic configuration of a noble gas
27,"3.1(b) describe, including the use of 'dot-and-cross' diagrams, the formation of ionic bonds between metals and non-metals, e.g. NaCl; MgCl2"
28,3.1(c) relate the physical properties (including electrical property) of ionic compounds to their lattice structure
29,Covalent Bonding
30,3.2(a) describe the formation of a covalent bond by the sharing of a pair of electrons and that the atoms in the molecules usually have the electronic configuration of a noble gas
31,"3.2(b) describe, using 'dot-and-cross' diagrams, the formation of covalent bonds between non-metallic elements, e.g. H2; O2; H2O; CH4; CO2"
32,3.2(c) deduce the arrangement of electrons in other covalent molecules
33,3.2(d) relate the physical properties (including electrical property) of covalent substances to their structure and bonding
34,Structure and Properties of Materials
35,"3.3(a) describe the differences between elements, compounds and mixtures"
36,"3.3(b) describe the general physical properties of metals as solids having high melting and boiling points, malleable and good conductors of heat and electricity"
37,"3.3(c) describe an alloy as a mixture of a metal with another element, e.g. brass; stainless steel"
38,3.3(d) identify representations of metals and alloys from diagrams of structures
39,Chemical Calculations
40,Formulae and Equation Writing
41,4.1(a) state the symbols of the elements and formulae of the compounds mentioned in the syllabus
42,4.1(b) deduce the formulae of simple compounds from the relative numbers of atoms present and vice versa
43,4.1(c) deduce the formulae of ionic compounds from the charges on the ions present and vice versa
44,4.1(d) interpret chemical equations with state symbols
45,"4.1(e) construct chemical equations, with state symbols, including ionic equations"
46,The Mole Concept
47,"4.2(a) define relative atomic mass, Ar"
48,"4.2(b) define relative molecular mass, Mr, and calculate relative molecular mass (and relative formula mass) as the sum of relative atomic masses"
49,"4.2(c) perform calculations involving the relationship between the amount of substances in moles, mass and molar mass (calculations of stoichiometric reacting masses and volumes of gases are not required)"
50,Acid-Base Chemistry
51,Acids and Bases
52,5(a) describe the meanings of the terms acid and alkali in terms of the ions they produce in aqueous solution and their effects on Universal Indicator
53,"5(b)(i) describe neutrality and relative acidity and alkalinity, in terms of relative H+ and OH- ion concentrations"
54,"5(b)(ii) describe neutrality and relative acidity and alkalinity, in terms of colour in Universal Indicator"
55,"5(b)(iii) describe neutrality and relative acidity and alkalinity, in terms of the pH scale (calculation of pH from hydrogen ion concentration is not required)"
56,"5(c) describe the characteristic properties of acids as in reactions with metals, bases and carbonates to form salts (description of the preparation of pure salts is not required)"
57,"5(d) describe the reaction between hydrogen ions and hydroxide ions to produce water, H+ + OH-  H2O, as neutralisation"
58,5(e) describe the importance of controlling the pH in soils and how excess acidity can be treated using calcium hydroxide
59,5(f) describe the characteristic properties of bases in reactions with acids and with ammonium salts
60,"5(g) classify oxides as acidic, basic, amphoteric or neutral based on metallic/non-metallic character"
61,Qualitative Analysis
62,Qualitative Analysis
63,6(a) describe tests to identify the following gases: carbon dioxide (using limewater); hydrogen (using a burning splint); oxygen (using a glowing splint)
64,Patterns in the Periodic Table
65,Periodic Trends
66,7.1(a) describe the Periodic Table as an arrangement of the elements in the order of increasing proton (atomic) number
67,7.1(b) describe how the position of an element in the Periodic Table is related to proton number and electronic configuration
68,7.1(c) explain the similarities between the elements in the same group of the Periodic Table in terms of their electronic configuration
69,7.1(d) describe the change from metallic to non-metallic character from left to right across a period of the Periodic Table
70,7.1(e) describe the relationship between number of outer (valence) electrons and metallic/non-metallic character
