1,Measurements
2,Physical Quantities Units and Measurement
3,show an understanding that physical quantities typically consist of a numerical magnitude and a unit
4,"recall the following base quantities and their units: mass (kg), length (m), time (s), current (A), temperature (K), amount of substance (mol)"
5,"use the following prefixes and their symbols to indicate decimal sub-multiples and multiples of the SI units: nano (n), micro (), milli (m), centi (c), deci (d), kilo (k), mega (M), giga (G), tera (T)"
6,show an understanding of the orders of magnitude of the sizes of common objects ranging from a typical atom to the Earth
7,"select and explain the use of appropriate measuring instruments to measure or determine physical quantities listed in 'Summary of key quantities, symbols and units' taking into consideration the range and precision of the instrument"
8,state what is meant by scalar and vector quantities and give common examples of each
9,Newtonian Mechanics
10,Kinematics
11,state what is meant by speed and velocity
12,calculate average speed = distance travelled / time taken
13,state what is meant by acceleration and calculate the value of acceleration using change in velocity / time taken
14,interpret given examples of non-uniform acceleration
15,plot and interpret a distance-time graph and a speed-time graph for motion in one direction
16,"deduce from the shape of a distance-time graph when a body travelling in one direction is:
(i) at rest
(ii) moving with uniform speed
(iii) moving with non-uniform speed"
17,"deduce from the shape of a speed-time graph when a body travelling in one direction is:
(i) at rest
(ii) moving with uniform speed
(iii) moving with uniform acceleration
(iv) moving with non-uniform acceleration"
18,calculate the area under a speed-time graph to determine the distance travelled for motion in one direction with uniform speed or uniform acceleration
19,state that the acceleration of free fall for a body near to the Earth is constant and is approximately 10 m/s2
20,Force and Pressure
21,"identify and distinguish between contact forces (e.g. friction, air resistance, tension and normal force) and non-contact forces (e.g. gravitational, electrostatic and magnetic forces)"
22,state that mass is a measure of the amount of matter in a body
23,state that a gravitational field is a region in which a mass experiences a force due to gravitational attraction
24,"define gravitational field strength, g, as gravitational force per unit mass placed at that point"
25,recall and apply the relationship weight = mass  gravitational field strength to new situations or to solve related problems
26,distinguish between mass and weight
27,recall and apply the relationship density = mass / volume to new situations or to solve related problems
28,define pressure in terms of force and area
29,recall and apply the relationship pressure = force / area to new situations or to solve related problems
30,Dynamics
