1,"Unit 1: Challenges to European Dominance, 1910s - 1942"
2,After World War I: Aims and Terms of the Paris Peace Conference and its Immediate Impact on Europe in the 1920s
3,Assess the impact of post-war peace settlements on Europe
4,Assess the attempts at collective security in the 1920s and its outcomes
5,Overview of the Attempts at Establishing Viable Political Systems after World War
6,Demonstrate awareness of political developments after World War I
7,Case Study of Nazi Germany: Rise of Authoritarian Regimes
8,"Examine the rise of authoritarian regimes and evaluate their impact on the political, social and economic context of Germany"
9,Evaluate the roles of key players in the establishment of authoritarian rule in Germany
10,"Case Study of Militarist Japan, 1920s - 1930s: Rise of Authoritarian Regimes"
11,"Examine the rise of authoritarian regimes and evaluate their impact on the political, social and economic context of Japan"
12,Evaluate the roles of key players in the establishment of authoritarian rule in Japan
13,Key Developments Leading to the Outbreak of World War II in Europe
14,Evaluate the reasons for the outbreak of World War II in Europe
15,Evaluate the roles played by individuals and groups in developments leading to the outbreak of World War II in Europe
16,Key Developments Leading to the Outbreak of World War II in Asia-Pacific
17,Evaluate the reasons for the outbreak of World War II in the Asia-Pacific
18,Evaluate the roles played by individuals and groups in developments leading to the outbreak of World War II in the Asia-Pacific
19,"Unit 2: Developments in the Post World War II World: The Cold War, 1940s - 1991"
20,Reasons for the End of World War II
21,Assess the reasons for the end of World War II
22,Origins and Development of the Cold War in Europe
23,Assess the immediate impact of World War II on Europe
24,Examine how Cold War tensions are manifested in Europe
25,Assess the impact of rivalry between the USA and USSR in the aftermath of World War II
26,"Extension of the Cold War outside Europe: Case Study of Korean War, 1950 - 1953"
27,Assess the impact of the emergence of communist China on Cold War tensions
28,"Assess the reasons for the outbreak of the Korean War, and its aftermath"
29,Evaluate the extent and impact of superpowers involvement in civil wars with reference to the Korean War
30,Examine the immediate aftermath of the Korean War on Cold War developments
31,"Extension of the Cold War outside Europe: Case Study of Vietnam War, 1954 -1975"
32,"Assess the reasons for the outbreak of the Vietnam War, and its aftermath"
33,Evaluate the extent and impact of superpowers involvement in civil wars with reference to the Vietnam War
34,Examine the immediate aftermath of the Vietnam War on Cold War developments
35,"End of the Cold War, 1980s – 1991: Decline of the USSR and the End of the Cold War"
36,Assess the reasons that led to the decline of the USSR
37,Evaluate the reasons for the end of the Cold War
