1,1 The Scientific Endeavour
2,"Show an awareness that Science is not confined to the laboratory, but is manifested in all aspects of our lives"
3,Show a healthy curiosity about the natural phenomena in the world
4,"Show an appreciation of Science being a human endeavour, with scientific knowledge contributed by different civilisations over the centuries"
5,"Recognise that scientific evidence can be quantitative or qualitative, and can be gathered through one’s senses or instruments as extensions of one’s senses"
6,Show an understanding of how scientific knowledge is built from systematic collection and analyses of evidence and rigorous reasoning based on the evidence
7,Show an awareness that scientific evidence is subject to multiple interpretations
8,"Use scientific inquiry skills such as posing questions, planning and carrying out investigations, evaluating experimental results and communicating findings (Estimation and measurement skills, knowledge of S.I units, and using appropriate units for the respective physical quantities, should be infused into the respective topics)"
9,Show an understanding that accuracy refers to the closeness of agreement between a measured value and the true value of what is being measured
10,Show an understanding that precision of measurement refers to the closeness of agreement between measured values obtained by repeated measurements
11,Identify zero errors as the condition where the measuring instrument registers a reading when there should not be any reading
12,Identify parallax error as an error in reading an instrument as a result of not viewing the measurement scale from the correct position
13,"Show attitudes such as creativity, objectivity, integrity, open-mindedness and perseverance in carrying out scientific inquiry"
14,Demonstrate safety consciousness and adopt safe practices when carrying out investigations
15,Discuss the beneficial and harmful consequences of scientific and technological applications to society
16,Relate applications of Science to some social and ethical issues
17,State some current limitations of science and technology in solving societal problems
18,Recognise the need to be responsible towards society and the environment in using technology and scientific knowledge
19,Diversity
20,2 Exploring Diversity of Matter by their Physical Properties
21,"Show an awareness of the importance of making informed choices of the appropriate and sustainable use of materials for household products (e.g., fibre, plastics, ceramics, metals and glass) based on their physical properties, e.g., demonstrate curiosity about the physical properties of things commonly encountered in daily life"
22,Classify a number of common everyday objects and recognise that there are many ways of classifying the same group of objects
23,Evaluate the usage of different materials using data of their physical properties
24,Communicate their findings on classification and justify their reasons
25,"Describe physical properties that can be observed or measured, e.g., electrical conductivity, thermal conductivity, boiling/melting point, density"
26,"Estimate length, mass and volume"
27,"Measure accurately length, mass and volume (including mass and volume of liquids and solids but not of gases) of matter using appropriate instruments (measuring tape and metre rule, digital calipers, measuring cylinder, electronic balance) and methods"
28,Show an understanding of how mass and volume affects density
29,Predict whether an object will sink or float by comparing its density with that of its surrounding medium
30,Calculate density using the formula (density=mass/volume) and use the appropriate unit (e.g g/cm3 or kg/m3)
31,Show an appreciation of how reducing the use of non-sustainable materials by using alternative materials with similar properties helps to minimise environmental and social impact
32,3 Exploring Diversity of Matter by its Chemical Composition
33,Show an appreciation of how recycling and reuse of precious metals can be facilitated by classification of waste products based on their chemical composition
34,"Show an awareness of the importance of knowing the chemical composition of everyday items and how it can be beneficial (e.g., melamine for making
plastic containers) or harmful (e.g., melamine in milk powder)"
35,State that elements are the basic building blocks of living and non-living matte
36,"Recognise that there are different types of elements represented in the Periodic Table of Elements e.g., metals and non-metals"
37,Show an understanding that compounds are substances consisting of two or more chemically combined elements
38,Show an understanding that compounds have different characteristics from its constituent elements
39,Show an understanding that mixtures are made up of two or more elements and/or compounds that are not chemically combined
40,Show an understanding that mixtures will display characteristics of its constituents
41,"Distinguish among solute, solvent and solution"
42,"Classify matter as elements, compounds, and mixtures based on their chemical composition"
43,Investigate the factors that affect the rate of dissolving of substances
44,Show an understanding that solutions and suspensions are mixtures
45,"Distinguish among elements, compounds and mixtures"
46,4 Exploring Diversity of Matter Using Separation Techniques
47,Show an appreciation of why water is a precious resource and the need to conserve it
48,"Investigate the separation of constituents of mixtures based on basic principles involved in the following separation techniques: magnetic attraction, filtration, evaporation, distillation, paper chromatography"
49,"Explain how the constituents of a mixture can be separated based on their properties, using the following techniques: magnetic attraction, filtration, evaporation, distillation, paper chromatography"
50,"State some examples of the applications of the various separation techniques in everyday life and industries e.g., water treatment (i.e. distillation and filtration), food safety and waste management"
51,Show an appreciation of how Singapore uses separation techniques to ensure a sustainable source of potable water
52,Models
53,5 Ray Model of Light
54,Show an understanding that the ray model represents the path taken by light
