1,H1 Chemistry
2,Introduction
3,Matter
4,Atomic Structure
5,"1(a) identify and describe protons, neutrons and electrons in terms of their relative charges and relative masses"
6,"1(b) deduce the behaviour of beams of protons, neutrons and electrons in an electric field"
7,1(c) describe the distribution of mass and charges within an atom
8,"1(d) deduce the numbers of protons, neutrons and electrons present in both atoms and ions given proton and nucleon numbers (and charge)"
9,1(e)(i) describe the contribution of protons and neutrons to atomic nuclei in terms of proton number and nucleon number
10,1(e)(ii) distinguish between isotopes on the basis of different numbers of neutrons present
11,"1(f) describe the number and relative energies of the s, p and d orbitals for the principal quantum numbers 1, 2 and 3 and also the 4s and 4p orbitals"
12,1(g) describe the shapes of s and p orbitals
13,1(h) state the electronic configuration of atoms and ions given the proton number (and charge)
14,1(i) explain the factors influencing the ionisation energies of elements (see the Data Booklet)
15,1(j) deduce the electronic configurations of elements from successive ionisation energy data
16,1(k) interpret successive ionisation energy data of an element in terms of the position of that element within the Periodic Table
17,Structure And Properties
18,Chemical Bonding
19,2(a)(i) show understanding that all chemical bonds are electrostatic in nature and describe ionic bond as the electrostatic attraction between oppositely charged ions
20,2(a)(ii) show understanding that all chemical bonds are electrostatic in nature and describe covalent bond as the electrostatic attraction between a shared pair of electrons and positively charged nuclei
21,2(a)(iii) show understanding that all chemical bonds are electrostatic in nature and describe metallic bond as the electrostatic attraction between a lattice of positive ions and delocalised electrons
22,"2(b)(i) describe, including the use of �dot-and-cross� diagrams, ionic bonding as in sodium chloride and magnesium oxide"
23,"2(b)(ii) describe, including the use of �dot-and-cross� diagrams, covalent bonding as in hydrogen; oxygen; nitrogen; chlorine; hydrogen chloride; carbon dioxide; methane; ethene"
24,"2(b)(iii) describe, including the use of �dot-and-cross� diagrams, co-ordinate (dative covalent) bonding, as in formation of the ammonium ion and in the Al2Cl6 molecule"
25,"2(c) describe covalent bonding in terms of orbital overlap (limited to s and p orbitals only), giving sigma and pi bonds"
26,"2(d) explain the shapes of, and bond angles in, molecules such as BF3 (trigonal planar); CO2 (linear); CH4 (tetrahedral); NH3 (trigonal pyramidal); H2O (bent); SF6 (octahedral) by using the Valence Shell Electron Pair Repulsion theory"
27,"2(e) predict the shapes of, and bond angles in, molecules analogous to those specified in (d)"
28,2(f) explain and deduce bond polarity using the concept of electronegativity
29,2(g) deduce the polarity of a molecule using bond polarity and its molecular shape (analogous to those specified in (d))
30,"2(h)(i) describe the following forces of attraction (electrostatic in nature): intermolecular forces, based on permanent and induced dipoles, as in CHCl3(l); Br2(l) and the liquid noble gases"
31,"2(h)(ii) describe the following forces of attraction (electrostatic in nature): hydrogen bonding, using ammonia and water as examples of molecules containing �NH and �OH groups"
32,"2(j) outline the importance of hydrogen bonding to the physical properties of substances, including ice and water"
33,2(k) explain the terms bond energy and bond length for covalent bonds
34,"2(l) compare the reactivities of covalent bonds in terms of bond energy, bond length and bond polarity"
35,"2(m)(i) describe, in simple terms, the lattice structure of a crystalline solid which is ionic, as in sodium chloride and magnesium oxide"
36,"2(m)(ii) describe, in simple terms, the lattice structure of a crystalline solid which is simple molecular, as in iodine"
37,"2(m)(iii) describe, in simple terms, the lattice structure of a crystalline solid which is giant molecular, as in graphite and diamond"
38,"2(m)(iv) describe, in simple terms, the lattice structure of a crystalline solid which is hydrogen-bonded, as in ice"
39,"2(m)(v) describe, in simple terms, the lattice structure of a crystalline solid which is metallic, as in copper"
40,"2(n) describe, interpret and/or predict the effect of different types of structure and bonding on the physical properties of substances"
41,2(o) suggest the type of structure and bonding present in a substance from given information
42,2(i) outline the importance of intermolecular forces to the liquefaction of gases when subjected to high pressure and/or low temperature
43,Theories of Acids and Bases
44,"3(a) show understanding of, and apply the Arrhenius theory of acids and bases"
45,"3(b) show understanding of, and apply the Br�nsted�Lowry theory of acids and bases, including the concept of conjugate acids and conjugate bases"
46,3(c) explain qualitatively the differences in behavious between strong and weak acids and bases in terms of the extent of dissocation
47,3(d) explain the terms pH; Ka; Kb; Kw
48,3(e) calculate [H+(aq)] and pH values for strong acids and strong bases
49,"3(f) explain the choice of suitable indicators for acid-base titrations, given appropriate data in terms of the strengths of the acids and bases"
50,3(g)(i) explain how buffer solutions control pH
51,"3(g)(ii) describe and explain their uses, including the role of H2CO3/HCO3- in controlling pH in blood"
52,The Periodic Table
53,"4(a) For elements in the third period (sodium to chlorine), and Group 17 (chlorine to iodine): recognise variation in the electronic configurations across a Period and down a Group"
54,"4(b)(i) For elements in the third period (sodium to chlorine) and Group 17 (chlorine to iodine): describe and explain qualitatively the trends and variations in atomic radius, ionic radius, first ionisation energy and electronegativity: across a Period in terms of shielding and nuclear charge"
55,"4(b)(ii) For elements in the third period (sodium to chlorine) and Group 17 (chlorine to iodine): describe and explain qualitatively the trends and variations in atomic radius, ionic radius, first ionisation energy and electronegativity: down a Group in terms of increasing number of electronic shells and nuclear charge"
56,"4(c) For elements in the third period (sodium to chlorine) and Group 17 (chlorine to iodine): interpret the variation in melting point and in electrical conductivity across a Period in terms of structure and bonding in the elements (metallic, giant molecular, or simple molecular)"
57,4(d) For elements in the third period (sodium to chlorine) and Group 17 (chlorine to iodine): describe and explain the trend in volatility of the Group 17 elements in terms of instantaneous dipole-induced dipole attraction
58,4(e)(i) For elements in the third period (sodium to chlorine): state and explain the variation in the highest oxidation number of the elements in oxides (for Na2O; MgO; Al2O3; SiO2; P4O10; SO3) and chlorides (for NaCl; MgCl2; AlCl3; SiCl4; PCl5)
59,4(e)(ii) For elements in the third period (sodium to chlorine): state and explain the variation in bonding in oxides and chlorides in terms of electronegativity (with the exception of AlCl3)
60,4(e)(iii) For elements in the third period (sodium to chlorine): describe the reactions of the oxides with water (for Na2O; MgO; Al2O3; SiO2; P4O10; SO3)
61,"4(e)(iv) For elements in the third period (sodium to chlorine): describe and explain the acid/base behaviour of oxides (for Na2O; MgO; Al2O3; SiO2; P4O10; SO3) and hydroxides (for NaOH; Mg(OH)2; Al(OH)3), including, where relevant, amphoteric behaviour in reaction with sodium hydroxide (only) and acids"
62,4(e)(v) For elements in the third period (sodium to chlorine): describe and explain the reactions of the chlorides with water (for NaCl; MgCl2; AlCl3; SiCl4; PCl5)
63,4(e)(vi) For elements in the third period (sodium to chlorine): suggest the types of structure and bonding present in the oxides and chlorides from observations of their chemical and physical properties
64,4(f)(i) For elements in Group 1 (lithium and caesium) and Group 17 (chlorine to iodine): describe and explain the relative reactivity of elements of: Group 1 as reducing agents in terms of ease of loss of electron
65,4(f)(ii) For elements in Group 1 (lithium and caesium) and Group 17 (chlorine to iodine): describe and explain the relative reactivity of elements of: Group 17 as oxidising agents in terms of ease of gain of electrons
66,4(g) For elements in Group 1 (lithium and caesium) and Group 17 (chlorine to iodine): describe and explain the trend in thermal stability of Group 17 hydrides in terms of bond energies
67,4(h) predict the characteristic properties of an element in a given Group by using knowledge of chemical periodicity
68,"4(i) deduce the nature, possible position in the Periodic Table, and identity of unknown elements from given information of physical and chemical properties"
69,Transformation
70,The Mole Concept and Stoichiometry
71,"5(a) define the terms relative atomic, isotopic, molecular and formula mass, based on the 12C scale"
72,5(b) define the term mole in terms of the Avogadro constant
73,5(c) calculate the relative atomic mass of an element given the relative abundances of its isotopes
74,5(d) define the terms empirical and molecular formula
75,5(e) calculate empirical and molecular formulae using combustion data or composition by mass
76,5(f) write and/or construct balanced equations
77,"5(i)(i) perform calculations, including use of the mole concept, involving reacting masses (from formulae and equations)"
78,"5(i)(ii) perform calculations, including use of the mole concept, involving volumes of gases (e.g. in the burning of hydrocarbons)"
79,"5(i)(iii) perform calculations, including use of the mole concept, involving volumes and concentrations of solutions"
80,5(j) deduce stoichiometric relationships from calculations such as those in (g)
81,Chemical Energetics: Thermochemistry
82,"6(a) explain that most chemical reactions are accompanied by energy changes, principally in the form of heat usually associated with the breaking and forming of chemical bonds; the reaction can be exothermic (DH negative) or endothermic (DH positive)"
83,"6(b) construct and interpret an energy profile diagram, in terms of the enthalpy change of the reaction and of the activation energy"
84,"6(c)(i) explain and use the terms enthalpy change of reaction and standard conditions, with particular reference to: formation; combustion; neutralisation"
85,"6(c)(ii) explain and use the terms bond energy (DH positive, i.e. bond breaking)"
86,"6(c)(iii) explain and use the terms lattice energy (DH negative, i.e. gaseous ions to solid lattice)"
87,"6(d) calculate enthalpy changes from appropriate experimental results, including the use of the relationship: heat change = mcDT"
88,"6(e) explain, in qualitative terms, the effect of ionic charge and of ionic radius on the numerical magnitude of a lattice energy"
89,"6(f)(i) apply Hess� Law to carry out calculations involving given simple energy cycles and relevant energy terms (restricted to enthalpy changes of formation, combustion and neutralisation), with particular reference to: determining enthalpy changes that cannot be found by direct experiment, e.g. an enthalpy change of formation from enthalpy changes of combustion"
90,"6(f)(iii) apply Hess� Law to carry out calculations involving given simple energy cycles and relevant energy terms (restricted to enthalpy changes of formation, combustion and neutralisation), with particular reference to: average bond energies"
91,Reaction Kinetics
92,7(a) explain and use the terms: rate of reaction; rate equation; order of reaction; rate constant; half-life of a reaction; activation energy; catalysis
93,"7(b)(i) construct and use rate equations of the form rate = k[A]m[B]n (limited to simple cases of single-step reactions for which m and n are 0, 1 or 2), including: deducing the order of a reaction by the initial rates method"
94,"7(b)(ii) construct and use rate equations of the form rate = k[A]m[B]n (limited to simple cases of single-step reactions for which m and n are 0, 1 or 2), including: justifying, for zero- and first-order reactions, the order of reaction from concentration-time graphs"
95,"7(b)(iii) construct and use rate equations of the form rate = k[A]m[B]n (limited to simple cases of single-step reactions for which m and n are 0, 1 or 2), including: calculating an initial rate using concentration data"
96,7(c) show understanding that the half-life of a first-order reaction is independent of concentration
97,"7(e) show understanding, including reference to the Boltzmann distribution, of what is meant by the term activation energy"
98,"7(f) explain qualitatively, in terms both of the Boltzmann distribution and of collision frequency, the effect of temperature change on a rate constant (and hence, on the rate) of a reaction"
99,"7(g)(i) explain that, in the presence of a catalyst, a reaction follows a different pathway, i.e. one of lower activation energy, giving a larger rate constant"
100,7(g)(ii) interpret this catalytic effect on a rate constant in terms of the Boltzmann distribution
101,"7(h) outline the different modes of action of heterogeneous catalysis, as exemplified by the catalytic removal of oxides of nitrogen in the exhaust gases from car engines"
102,7(i) describe enzymes as biological catalysts which may have specific activity
103,"7(d) explain qualitatively, in terms of frequency of collisions, the effect of concentration changes on the rate of a reaction"
104,Chemical Equilibria
105,"8(a) explain, in terms of rates of the forward and reverse reactions, what is meant by a reversible reaction and dynamic equilibrium"
106,"8(b) state Le Chatelier�s Principle and apply it to deduce qualitatively (from appropriate information) the effects of changes in concentration, pressure or temperature, on a system at equilibrium"
107,"8(c) deduce whether changes in concentration, pressure or temperature or the presence of a catalyst affect the value of the equilibrium constant for a reaction"
108,"8(d) deduce expressions for equilibrium constants in terms of concentrations, Kc"
109,8(e) calculate the values of equilibrium constants in terms of concentrations or partial pressures from appropriate data
110,"8(f) calculate the quantities present at equilibrium, given appropriate data (such calculations will not require the solving of quadratic equations)"
111,"8(g) describe and explain the conditions used in the Haber process, as an example of the importance of an understanding of chemical equilibrium in the chemical industry"
112,Materials
113,Nanomaterials
114,9.1(a) Define the terms nanomaterials and nanoparticles
115,"9.1(b)(i) Describe the large surface area to volume ratio of nanomaterials, explaining the effects on the following: catalysis as exemplified by the use of platinum nanoparticles in catalytic converters"
116,"9.1(b)(ii) Describe the large surface area to volume ratio of nanomaterials, explaining the effects on the following: interactions as exemplified by the wall climbing ability of geckos"
117,"9.1(c)(i) describe the structure of graphene, a nanomaterial, and relate the following properties to its structure: electrical conductivity"
118,"9.1(c)(ii) describe the structure of graphene, a nanomaterial, and relate the following properties to its structure: tensile strength"
119,9.1(d) Recognise the potential effect of nanoparticles on human health and the environment
120,Polymers
121,"9.2(a)(i) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: hydrocarbons (alkanes, alkenes and benzene)"
122,"9.2(a)(ii) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: halogenoalkanes"
123,"9.2(a)(iii) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: alcohols (including primary, secondary and tertiary)"
124,"9.2(a)(iv) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: aldehydes and ketones"
125,"9.2(a)(v) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: carboxylic acids"
126,"9.2(a)(vi) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: esters"
127,"9.2(a)(vii) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: amines"
128,"9.2(a)(viii) Interpret, and use the nomenclature, general formulae and structure formulae (including displayed formulae) of the following classes of compounds: amides"
129,"9.2(b)(i) Interpret, and use the following terminology associated with organic reactions: functional group"
130,"9.2(b)(ii) Interpret, and use the following terminology associated with organic reactions: addition, substitution, elimination"
131,"9.2(b)(iii) Interpret, and use the following terminology associated with organic reactions: condensation, hydrolysis"
132,"9.2(b)(iv) Interpret, and use the following terminology associated with organic reactions: oxidation and reduction"
133,9.2(c) Describe constitutional (structural) isomerism
134,"9.2(d) Describe cis-trans isomerism in alkenes, and explain its origin in terms of restricted rotation due to the presence of pi bonds"
135,9.2(e) deduce the possible isomers for an organic molecule of known molecular formula
136,"9.2(f)(i) describe the shapes of the ethane, ethene and benzene molecules"
137,"9.2(f)(ii) Explain the shapes of, and bond angles, in the ethane, ethene and benzene molecules in relation to sigma and pi carbon-carbon bonds"
138,"9.2(f)(iii) Predict the shapes of, and bond angles in, molecules analogous to those specified in (f)(ii)"
139,9.2(g)(i) Describe the chemistry of the following classes of compounds: alkanes (exemplified by ethane) as being generally unreactive except in terms of combustion and substitution by chlorine
140,9.2(g)(ii) Describe the chemistry of the following classes of compounds: alkenes (exemplified by ethene) in terms of combustion and addition reactions with bromine (in CCl4) and hydrogen
141,9.2(g)(iii) Describe the chemistry of the following classes of compounds: halogenoalkanes (exemplified by bromoethane) in terms of substitution reaction to alcohols and elimination reactions to alkenes
