i,Êtitle,Êtype,Êsubject,Êlevel,ÊmodifiedBy,Êstatus,ÊownerGroup,Êlink,ÊconceptMaps
1,How does a gyroscope work?,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/53b2c68a-2739-412d-b48b-f384eb60402b/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
2,Capacitance [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6e2f5b76-ea01-4dfa-a914-e5589630ebbf/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
3,H3 Physics Learning Series: Symmetry and Physics,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/03de30a3-87f7-4823-95f8-bcf7dacc9cab/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
4,The Photoelectric Effect (Lesson 2/2) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ffa6ed23-2e59-4f57-8b4a-fd5d6eb27284/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
5,Superposition of Waves [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4bb88e73-b05b-4873-854e-52e0d48257d8/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
6,Radioactive decay (Lesson 3/4) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/7b7c799b-20fa-4279-8f46-564b66809797/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
7,Forces in Electric Fields [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ceec634a-0d17-46fd-8065-af7d491da787/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
8,Heisenberg's Uncertainty Principle [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ed37f0e9-60ac-4517-9edd-06df7aae2000/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
9,2D Mass-Spring System [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/68706cd0-a5b7-48a6-a8ae-ecaf931f0144/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
10,Dynamics in Simple Harmonic Motion (Lesson 3/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/61efd305-154d-4641-bb02-ab324a7d8c53/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
11,Gravitational Fields (Lesson 2/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/2bdded79-62a2-411c-87ca-c46132e28e80/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
12,Relating Conservation of Momentum to Newton's Third Law of Motion [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0564e667-0c8d-498d-8daa-ed61fb4e5506/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
13,2-D Vector Addition by Resolving into Perpendicular Components [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",12-Apr-24,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c788167e-5865-4166-b147-89330b50b6b2/cover,Pre-U Physics (H1) > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H2)  > Newtonian Mechanics > Dynamics & ForcesPre-U Physics (H1)  > Foundations of Physics > Motion & Forces > Laws of motionPre-U Physics (H2) > Foundations of Physics > Motion & Forces > Laws of motion
