S/N,Title,Address,Phone,Fax,Email
1,1 Academy,"144 Upper Bukit Timah Road #02-21 Beauty World Centre, 588177",8268 5299,,ask1academy@gmail.com
2,3House Learning Centre,"Blk 201E Tampines Street 23 #02-102, 527201",6100 0048,,the3houselearningcentre@hotmail.com
3,3House Learning Centre (Tampines) [fka MRC Learning Centre (Tampines West)],"Blk 866A Tampines Street 83 #03-01, 521866",6100 0048,,anna.ng@apb.com.sg
4,A & A Learning Centre,"Blk 750 Pasir Ris Street 71 #01-10, 510750",6582 0806,,aaedu@singnet.com.sg
5,A-Prime Learning Centre,"557 Bukit Timah Road #02-08 Crown Centre, 269694",6467 0300,6348 6610,
6,A1 Learning Centre,"Blk 118 Teck Whye Lane #01-768, 680118",9756 7740,,tanthianhock@yahoo.com
7,A2G Music Centre,"Blk 962 Jurong West Street 91 #02-300, 640962",6795 6006,6795 1161,cmsadmin@a2gmusic.com.sg
8,A2G Music Centre (Bukit Gombak),"Blk 371 Bukit Batok Street 31 #02-330, 650371",6566 6080,6566 6078,cmsadmin@a2gmusic.com.sg
9,A2G Music Centre (Marsiling),"Blk 167 Woodlands Street 11 #02-25, 730167",6363 7623,6795 1131,cmsadmin@a2gmusic.com.sg
10,A2G Music Centre (Woodlands Mart),"Blk 768 Woodlands Avenue 6 #01-18 Woodlands Mart, 730768",6368 9881,6368 8292,cmsadmin@a2gmusic.com.sg
11,Abound Learning Centre,"Blk 810 Choa Chu Kang Avenue 7 #01-05, 680810",6513 2868,,aboundlearningcck@mail.com
12,Absolute Learning Centre,"Blk 463 Crawford Lane #02-13, 190463",9189 8535,,absolutelearningcentre@gmail.com
13,Absolutely Love Learning Campus,"Blk 46 Jalan Bukit Ho Swee #01-876, 160046",6906 7033,,enquirytiongbahru@seriouslyaddictivemaths.com.sg
14,Academia Education Centre [fka Academia English & Writing Centre],"(Main) 6 Sin Ming Road #01-15 Sin Ming Plaza, 575585",6554 4374,,secretary@academia.com.sg
15,Academia Education Centre [fka Academia English & Writing Centre],"11 Sin Ming Road #B1-11 Thomson V Two, 575629",6554 4374,,jl@academia.com.sg
16,Academy of Rock,"(Main) 187 Thomson Road Goldhill Shopping Centre, 307630",6250 8987,6722 0626,affandy@academyofrock.com.sg
17,Academy of Rock,"707 East Coast Road, 459063",6250 8987,6722 0626,Charles.aor@gmail.com
18,Ace Scorers Enrichment Centre,"2A Maju Avenue Serangoon Garden Estate, 556680",6289 4551,6382 3220,acescorers@hotmail.com
19,Achievers Dream Learning Centre,"9 Jalan Bingka #01-01 Mayfair Park, 588905",9696 4881,,admin@achieversdream.com.sg
20,Achievers Journey Tuition Centre,"Blk 406 Jurong West Street 42 #01-595, 640406",6425 6771,,achieversjourney@gmail.com
1,Adam Khoo Learning Centre (River Valley),"491 River Valley Road #01-10 Valley Point Shopping Centre, 248371",6734 9431,,rivervalley@aklc.com
2,Admittanze Education Centre,"144 Upper Bukit Timah Road #03-K10/K03 Beauty World Centre, 588177",6209 6514,,admittanze@gmail.com
3,Advanced Learning Centre,"Blk 553 Hougang Street 51 #B1-270, 530553",6387 5997,6328 3348,
4,Aekedim Tutorial Centre,"11 Sin Ming Road #B1-21/24 Thomson V Two, 575629",6970 0089,,aekedimtutorial@gmail.com
5,Aestral Private School,"Blk 273 Bukit Batok East Avenue 4 #02-80, 650273",6567 4119,,info@aestral.edu.sg
6,Affinity Education Place,"420 North Bridge Road #06-33 North Bridge Centre, 188727",6554 0236,,affinityep@hotmail.com
7,AFI Education Centre,"Blk 5 Everton Park #01-30, 080005",6327 9628,6327 9398,afiedu@singnet.com.sg
8,Afterskool Learning Centre,"Blk 31 Holland Close #01-215, 270031",6339 6787,,enquiries@afterskool.com.sg
9,Agape Learning Centre,"Blk 118 Aljunied Avenue 2 #01-138, 380118",6744 8281,6744 8281,office@agapelearning.sg
10,AGP Education Centre [fka Le Hua Tutorial Centre],"405 Joo Chiat Road #01-01 Joo Chiat Community Club, 427633",9780 2856,,maylee_d_m@yahoo.com.sg
11,AGrader Learning Centre,"6 Jurong West Avenue 1 #B1-00 Jurong Green Community Club, 649520",6567 2377,,admin@agrader.sg
12,Agraganya Centre for Education,"55 Siglap Road #02-22 Siglap Centre, 455871",9785 4949,,agraganya@hotmail.com
13,Ai Zi Learning Centre,"Blk 206 Toa Payoh North #01-1207, 310206",6256 8843,6251 0140,aizilearningcentre@gmail.com
14,Aim-A Tuition Centre (Pasir Ris),"Blk 220 Pasir Ris Street 21 #01-170, 510220",6582 6455,,
15,Al-Khairiah Islamic School,"152 Still Road, 423991",6344 6334,6296 9132,
16,Allegro Education Centre,"Blk 198 Punggol Field #02-05, 820198",6875 6971,6875 6971,allegroeducation@gmail.com
17,Alliance Education Centre,"2 Jalan Lokam #01-12 Kensington Square, 537846",6881 7644,,enquiries@alliance-edu.sg
18,Alsagoff Arabic School,"111 Jalan Sultan, 199006",6294 5909,6294 5976,admin@alsagoff.edu.sg
19,Altitude Tuition Centre,"Blk 86 Marine Parade Central #04-313, 440086",9832 0764,,altitudetuition@gmail.com
20,Amadeus Music Academy,"176 Orchard Road #03-02 The Centrepoint, 238843",6732 1155,,tim@amadeusma.com
1,Andrew Er Learning Hub,"16A Yio Chu Kang Road #01-16A, 545528",6382 2927,6382 2972,aelearninghub@gmail.com
2,Andrew Yap Education Centre,"Blk 302 Ang Mo Kio Avenue 3 #01-1842, 560302",8388 1912,,tuitionprince@yahoo.com
3,Anglo-Chinese School (International),"61 Jalan Hitam Manis, 278475",6472 1477,6472 0477,general@acsinternational.edu.sg
4,Apex Educational Centre,"Blk 806 Hougang Central #03-148, 530806",6386 9006,,
5,Apple Plus School (Serangoon),"10A Maju Avenue Serangoon Garden Estate, 556688",6285 1598,6285 1598,appleplusschool@yahoo.com.cn
