subjectName,OwnerGroup,LessonTitle,LessonAdminURL,Content Map Title,Resource Subject,Resource Level,CM EndDate,status
Science,Sec_Sci,Our Digestive System [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/98569de1-d214-4496-b935-dd8e168a8c7b,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Measurement and Effects of pH [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9f2a46dd-89ea-4356-812b-2e5fe3cc4067,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Effects of Forces [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/aac348d4-574c-4e5e-a255-3c390cf269db,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Breathing - Inhaled Air and Exhaled Air  [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/bc861feb-157b-4411-8fc5-d52e8f0d744f,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Neutralisation in Daily Life [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/bcf37474-288f-47ec-80cc-4e18d1a537e1,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Food and Our Diet [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c88a343a-729b-4407-9590-f7c4aee0a5e7,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Food Additives [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ced979dd-b6ad-4da1-bb59-60a70e2921c2,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Generation and Transmission of Electricity [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/d0718a5c-e8cd-4895-a3d0-cb2faf1d747c,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Hereditary Conditions and Diseases [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/d570b5ff-0bcf-4fbd-be9d-1b8fdcb32b59,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Treatment for Kidney Failure [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e323f570-fead-4729-aa2d-24bc6e990148,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,"Power, Energy and Time [USS NT]",https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e73f96d8-f5a5-4204-833b-bd064b32f804,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Waves (I) [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ea117ced-0f88-4d6b-a7d4-b88a73d79a25,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Health Issues in Digestion [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ec2cb627-85f2-4081-8a2b-2b3dd1281272,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Our Food - Where Does It Come From? [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ed9a3740-a22c-4edc-bb4f-e026ebe33752,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Understanding Distance-time Graphs [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f435265c-580f-4c67-9646-d302af5ebdf3,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Understanding Energy (I) [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f67c4717-b799-4901-a346-3fbc8da6db02,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Properties of Acids [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f7540c92-24ab-4108-8b08-57c6dd27fc4e,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,What Is Good Health? [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fc5a52b9-c973-44ac-a2d9-e1e1443edd56,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
