subjectName,OwnerGroup,LessonTitle,LessonAdminURL,Content Map Title,Resource Subject,Resource Level,CM EndDate,status
Science,Sec_Sci,Protecting Our Crops [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/014e2dd9-149b-491d-b130-751e9e3aa187,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Electricity (II) [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/065c6df7-680b-4a0f-8ef5-b18f712a0819,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Microbes and Food [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/06986c67-9669-45e5-b0fe-629175844931,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,How to Prevent Food Spoilage [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0a2b5af9-2c97-40f0-bbe0-113901766b92,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Understanding Energy (II) [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/1015b09b-50f4-44d9-94bc-bdecf1af769f,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Circulatory System [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/103c8739-455f-4053-9d18-a2e251bfcded,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,"Speed, Average Speed and Acceleration [USS NT]",https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/10f7634a-cf0d-44a2-be8d-ef241b54afdc,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Chemical Reactions [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/128c21ad-ba7c-4655-ae37-7a2901a84939,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Using Measuring Instruments [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/167f3e86-ba00-47be-9491-d81478f3c69e,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Understanding Moment of a Force [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/2174ba58-0db4-438f-ac2c-4d77bbb672c9,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Electricity (I) [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/36bb7102-7d59-41fe-876b-5bb044511979,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Breathing - Human Respiratory System [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/387d0fb1-bf6f-490c-826c-b195fdbbe09f,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Separation Techniques [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/3f858433-f630-4083-86ec-9cdd5ddad373,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Batteries [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4460ac29-0950-4a8f-bc93-275e80f67b69,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Waves (III) [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4486c8e7-d4c6-4dde-8a1f-dbcb8eb9a34e,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Keeping the Circulatory System Healthy [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4c10d45c-5747-4a76-8245-a0a3cf64676e,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Power and Energy [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/50808c38-fc55-4437-8391-5409fd87158b,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Nutrition Labels [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/51dfab1f-f59d-44cb-a361-1b58bfd2a9ae,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Farming and Environment [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/575a6064-3bf3-4c48-98f5-1ee91fc68703,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
Science,Sec_Sci,Healthy Bones and Joints [USS NT],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5997c31e-0be4-4c46-8682-dc3e8266b2b0,UPPER SEC SCIENCE (NT) (2014),Science,Secondary 3 Normal (T) - Secondary 4 Normal (T),31/12/24,APPROVED
