"School","Year","Phase","Vacancy","Registration","Left","Success Rate","Max PR Vacancy"
"Zhonghua Primary School","2021","Phase 1","140","30","110","100%","140"
"Zhenghua Primary School","2021","Phase 1","200","78","122","100%","200"
"Zhangde Primary School","2021","Phase 1","170","82","88","100%","170"
"Yumin Primary School","2021","Phase 1","140","58","82","100%","140"
"Yuhua Primary School","2021","Phase 1","200","50","150","100%","200"
"Yu Neng Primary School","2021","Phase 1","140","79","61","100%","140"
"Yishun Primary School","2021","Phase 1","160","82","78","100%","160"
"Yio Chu Kang Primary School","2021","Phase 1","160","46","114","100%","160"
"Yew Tee Primary School","2021","Phase 1","200","72","128","100%","200"
"Yangzheng Primary School","2021","Phase 1","140","68","72","100%","140"
"Xishan Primary School","2021","Phase 1","180","90","90","100%","180"
"Xinmin Primary School","2021","Phase 1","170","87","83","100%","170"
"Xingnan Primary School","2021","Phase 1","260","72","188","100%","260"
"Xinghua Primary School","2021","Phase 1","200","43","157","100%","200"
"Woodlands Ring Primary School","2021","Phase 1","200","80","120","100%","200"
"Woodlands Primary School","2021","Phase 1","170","94","76","100%","170"
"Woodgrove Primary School","2021","Phase 1","140","73","67","100%","140"
"White Sands Primary School","2021","Phase 1","140","83","57","100%","140"
"Westwood Primary School","2021","Phase 1","200","86","114","100%","200"
"West View Primary School","2021","Phase 1","140","38","102","100%","140"
"West Spring Primary School","2021","Phase 1","200","108","92","100%","200"
"West Grove Primary School","2021","Phase 1","200","74","126","100%","200"
"Wellington Primary School","2021","Phase 1","200","93","107","100%","200"
"Waterway Primary School","2021","Phase 1","240","149","91","100%","240"
"Valour Primary School","2021","Phase 1","240","65","175","100%","240"
"Unity Primary School","2021","Phase 1","200","77","123","100%","200"
"Townsville Primary School","2021","Phase 1","150","41","109","100%","150"
"Temasek Primary School","2021","Phase 1","160","108","52","100%","160"
"Telok Kurau Primary School","2021","Phase 1","180","99","81","100%","180"
"Teck Whye Primary School","2021","Phase 1","200","56","144","100%","200"
"Teck Ghee Primary School","2021","Phase 1","170","77","93","100%","170"
"Tao Nan School","2021","Phase 1","320","174","146","100%","320"
"Tanjong Katong Primary School","2021","Phase 1","160","78","82","100%","160"
