number,subjectName,Owner Group,LessonTitle,LessonAdminURL,Content Map Title,Resource Subject,Resource Level,CM EndDate,status,Follow-up action
49,Science,Sec_Sci,Energy Transformation [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0169848a-cc93-458f-98c5-0e7332c5b4fe,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
50,Science,Sec_Sci,Separation Techniques [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0aaaca4b-6dc6-424a-bf53-61be9781c3c7,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
51,Science,Sec_Sci,Current and Potential Difference [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0ac9c8ff-4ca7-477f-b7b7-78cca19340ed,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
52,Science,Sec_Sci,"Excuse Me, Can I Have an Organ Please? [LSS Exp/NA]",https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/158c2e81-9377-4456-9e71-22e2697b7d40,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
53,Science,Sec_Sci,Contact and Non-Contact Forces [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/19f26152-c455-405c-8495-bc605c5a6e89,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
54,Science,Sec_Sci,Types of Chemical Changes [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/1e39fbf3-0137-4872-b525-42342e908f4b,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
55,Science,Sec_Sci,Adaptation [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/1fc50421-0900-448c-b583-aa50ae2eea97,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
56,Science,Sec_Sci,How Do We Hear Sound? [LSS (Exp/NA),https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/20772d4c-a88c-49ef-901d-ed0632392c97,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
57,Science,Sec_Sci,Predator-Prey Relationships [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/22e6744e-f151-492a-b07d-5bb8ebed94d0,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
58,Science,Sec_Sci,Heredity [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/297b3ee8-e67c-478c-b4b6-d29e2b86dd86,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),12/31/2021,APPROVED,To delete as lesson is from older content map
